name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
ETH Zürich,Switzerland,ELECTRIC,1,5,95.0,15,51.07,1,150.0,2,67.65,13,55.06,5,73.67,4,291.31,1,100.0,0.0,884.0
Norwegian University of Science and Technology,Norway,ELECTRIC,2,15,79.5,18,49.22,5,130.0,9,48.54,2,74.38,6,72.8,2,313.11,4,91.01,0.0,859.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,3,7,94.0,18,49.22,17,90.0,7,57.43,8,66.03,4,75.07,1,325.0,5,90.57,-10.0,837.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,4,1,100.0,11,55.46,4,137.0,21,3.5,9,60.79,15,46.46,3,294.41,2,98.84,-5.0,791.0
Technische Universiteit Eindhoven,Netherlands,ELECTRIC,5,17,79.0,10,57.19,14,100.0,12,43.63,11,57.88,10,60.98,8,191.95,8,87.83,0.0,678.0
Monash University,Australia,ELECTRIC,6,23,72.0,1,75.0,11,105.0,18,19.86,18,33.48,14,47.52,5,255.21,9,80.59,-55.0,634.0
Deggendorf Institute of Technology,Germany,ELECTRIC,7,32,58.5,22,46.38,18,85.0,11,45.29,16,49.66,18,22.43,7,196.27,7,88.88,0.0,592.0
Georg-Simon-Ohm-Hochschule Nürnberg,Germany,ELECTRIC,8,29,61.0,24,43.99,26,60.0,17,24.49,17,41.11,17,35.42,6,234.01,6,90.51,-10.0,581.0
TU Delft,Netherlands,ELECTRIC,9,1,100.0,3,73.0,3,144.0,4,63.77,4,73.32,2,92.42,,,,,0.0,547.0
Technical University of Munich,Germany,ELECTRIC,10,14,80.0,6,66.75,2,146.0,3,66.18,1,75.0,1,100.0,,,,,0.0,534.0
Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen,Germany,ELECTRIC,11,19,78.0,17,49.73,15,95.0,19,8.94,19,31.55,22,4.5,9,140.1,3,91.15,0.0,499.0
Technische Universität Dresden,Germany,ELECTRIC,12,9,88.0,3,73.0,10,110.0,1,75.0,14,53.91,3,85.63,,,,,0.0,486.0
Universität Stuttgart,Germany,ELECTRIC,13,5,95.0,1,75.0,6,120.0,6,57.99,5,70.02,9,63.47,,,,,-5.0,476.0
Duale Hochschule Baden-Württemberg Stuttgart,Germany,ELECTRIC,14,4,96.0,25,42.94,7,115.0,5,61.25,3,73.52,7,72.49,,,,,0.0,461.0
Tallinn TU UAS,Estonia,ELECTRIC,15,10,87.0,9,57.47,7,115.0,8,51.95,7,66.34,11,57.38,,,,,0.0,435.0
Barcelona School of Industrial Engineering - ETSEIB - UPC,Spain,ELECTRIC,16,26,67.0,5,71.0,7,115.0,10,47.88,6,69.55,16,36.12,,,,,-5.0,402.0
Technische Universität Hamburg,Germany,ELECTRIC,17,3,99.0,37,26.2,18,85.0,13,43.15,15,52.62,8,71.54,,,,,0.0,378.0
Fachhochschule München,Germany,ELECTRIC,18,28,62.0,8,62.16,11,105.0,,,10,59.58,12,51.45,,,,,-5.0,335.0
Hochschule Bonn-Rhein-Sieg,Germany,ELECTRIC,19,27,63.0,30,38.25,21,80.0,15,40.55,12,57.77,19,20.17,,,,,-5.0,295.0
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,ELECTRIC,20,12,85.0,7,62.73,11,105.0,,,,,13,49.89,,,,,-30.0,273.0
University of Patras,Greece,ELECTRIC,21,8,89.0,31,37.61,15,95.0,20,7.68,20,28.85,21,16.2,,,,,-13.0,261.0
Fachhochschule für Wirtschaft und Technik,Germany,ELECTRIC,22,24,70.0,20,48.2,25,65.0,21,3.5,,,,,10,25.0,,,0.0,212.0
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Germany,ELECTRIC,23,13,81.0,13,54.32,18,85.0,,,,,,,,,,,-10.0,210.0
Ostfalia University of Applied Sciences,Germany,ELECTRIC,24,20,77.0,35,32.9,23,75.0,14,41.2,22,3.5,20,17.67,,,,,-45.0,202.0
