name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Tallinn TU UAS,Estonia,ELECTRIC,1,1,100.0,29,40.06,1,150.0,2,74.31,5,70.13,1,100.0,1,325.0,3,73.92,0.0,933.0
Fachhochschule Joanneum Graz,Austria,ELECTRIC,2,2,98.55,3,71.0,4,139.86,4,65.9,2,73.65,2,99.08,4,271.49,1,100.0,0.0,920.0
Technische Universität Graz,Austria,ELECTRIC,3,16,80.7,4,69.81,2,141.89,1,75.0,1,75.0,6,57.21,3,278.33,4,71.28,0.0,849.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,4,26,69.65,17,56.32,10,123.65,3,68.24,4,72.14,3,72.78,2,290.98,5,61.08,0.0,815.0
Czech Technical University in Prague,Czech Republic,ELECTRIC,5,6,90.68,21,54.34,3,140.88,8,58.03,6,52.71,9,36.7,5,181.05,2,95.77,0.0,710.0
Leopold-Franzens-Universität Innsbruck,Austria,ELECTRIC,6,7,90.11,7,64.26,14,113.51,5,65.1,3,72.94,4,67.53,6,167.36,6,54.34,0.0,695.0
Università degli studi di Padova,Italy,ELECTRIC,7,4,92.37,11,61.08,17,105.4,7,58.35,10,40.56,18,5.0,7,141.46,8,26.14,0.0,530.0
Alma Mater Studiorum - Università di Bologna,Italy,ELECTRIC,8,19,78.0,6,66.24,8,126.69,18,22.97,14,31.41,10,31.89,9,74.87,7,52.55,0.0,485.0
Hochschule für Angewandte Wissenschaften Hamburg,Germany,ELECTRIC,9,3,97.31,23,53.15,10,123.65,17,23.04,16,27.33,14,24.65,8,84.47,9,24.95,-20.0,439.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,10,14,82.15,19,55.13,6,133.78,6,62.95,8,46.69,5,63.33,,,,,-10.0,434.0
Bern University of Applied Sciences,Switzerland,ELECTRIC,11,23,74.78,5,68.22,13,117.57,9,56.34,13,33.23,18,5.0,10,55.7,10,19.11,0.0,430.0
Ostbayerische Technische Hochschule Regensburg,Germany,ELECTRIC,12,8,89.98,2,74.0,14,113.51,12,47.62,18,22.61,8,44.16,12,25.0,,,0.0,417.0
Politecnico di Torino,Italy,ELECTRIC,13,15,81.0,13,59.1,12,121.62,10,54.98,11,37.75,15,19.4,12,25.0,,,0.0,399.0
Università degli Studi di Trento,Italy,ELECTRIC,14,12,84.37,15,57.91,5,136.82,15,32.75,12,35.59,16,18.78,,,,,0.0,366.0
Wroclaw University of Technology,Poland,ELECTRIC,15,27,69.17,22,53.55,9,125.68,16,28.67,9,42.06,7,45.84,,,,,0.0,365.0
Universität Paderborn,Germany,ELECTRIC,16,13,82.25,8,62.27,16,111.49,13,46.72,7,51.21,18,5.0,,,,,0.0,359.0
Hochschule RheinMain,Germany,ELECTRIC,17,22,75.16,26,47.2,6,133.78,14,36.13,19,17.56,11,29.22,,,,,0.0,339.0
University of Ljubljana,Slovenia,ELECTRIC,18,29,65.75,18,55.53,23,92.23,11,49.36,15,28.53,13,25.68,12,25.0,,,-10.0,332.0
Ecole Nationale d,France,ELECTRIC,19,17,79.76,30,37.29,21,95.27,19,22.21,17,26.32,12,26.07,11,41.22,,,0.0,328.0
Università di Pisa,Italy,ELECTRIC,20,11,86.65,12,60.29,19,104.39,22,3.75,20,13.19,17,17.5,,,,,0.0,286.0
Hochschule Düsseldorf,Germany,ELECTRIC,21,10,87.42,8,62.27,17,105.4,22,3.75,24,3.75,18,5.0,,,,,0.0,268.0
Istanbul Technical University,Türkiye,ELECTRIC,22,18,78.3,10,61.88,23,92.23,,,,,18,5.0,12,25.0,,,0.0,262.0
Hochschule für Angewandte Wissenschaften Hof,Germany,ELECTRIC,23,9,89.15,20,54.74,22,94.26,22,3.75,22,9.06,18,5.0,,,,,0.0,256.0
Università degli studi di Udine ,Italy,ELECTRIC,24,25,70.71,16,57.12,20,97.3,20,13.41,21,10.1,18,5.0,,,,,0.0,254.0
Barcelona East School of Engineering - EEBE - UPC,Spain,ELECTRIC,25,24,74.02,24,50.77,25,88.18,,,,,,,,,,,0.0,213.0
Universidad Pontificia Comillas,Spain,ELECTRIC,26,5,92.07,1,75.0,28,82.1,22,3.75,,,18,5.0,,,,,-70.0,188.0
HES-SO Valais-Wallis,Switzerland,ELECTRIC,27,33,38.52,25,47.6,29,75.0,22,3.75,24,3.75,18,5.0,,,,,0.0,174.0
Helsinki Metropolia University of Applied Sciences,Finland,ELECTRIC,28,31,50.09,31,31.34,26,87.16,,,,,,,,,,,0.0,169.0
Università della Calabria,Italy,ELECTRIC,29,21,75.18,13,59.1,27,83.11,,,,,,,,,,,-50.0,167.0
Università degli studi di Trieste,Italy,ELECTRIC,30,20,76.4,32,27.77,32,47.64,,,,,,,,,,,0.0,152.0
Silesian University of Technology,Poland,ELECTRIC,31,30,57.98,28,41.25,31,48.65,,,,,,,,,,,0.0,148.0
University of Kocaeli,Türkiye,ELECTRIC,32,32,39.97,33,22.21,33,43.58,,,,,,,,,,,0.0,106.0
Universität Bremen,Germany,ELECTRIC,33,28,68.07,27,42.44,30,65.88,21,12.43,23,5.74,18,5.0,,,,,-100.0,100.0
Università degli Studi di Cassino e del Lazio Meridionale,Italy,ELECTRIC,35,,,34,11.5,34,10.14,,,,,,,,,,,0.0,22.0
