name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
TU Delft,Netherlands,ELECTRIC,1,4,95.0,1,75.0,1,139.0,3,58.25,1,75.0,4,79.1,1,325.0,2,96.44,0.0,943.0
Hochschule Bonn-Rhein-Sieg,Germany,ELECTRIC,2,5,85.5,16,46.4,5,115.0,9,14.29,5,43.49,1,100.0,3,218.31,4,83.39,0.0,706.0
Technische Universiteit Eindhoven,Netherlands,ELECTRIC,3,7,83.13,5,71.0,3,124.0,11,10.42,,,,,2,309.7,1,100.0,-20.0,678.0
Duale Hochschule Baden-Württemberg Stuttgart,Germany,ELECTRIC,4,5,85.5,6,70.0,9,103.0,1,75.0,2,58.51,2,91.87,,,,,0.0,484.0
Technische Universität Dresden,Germany,ELECTRIC,5,15,67.69,3,73.0,7,108.0,2,68.12,3,51.81,5,77.9,,,,,0.0,447.0
ETH Zürich,Switzerland,ELECTRIC,6,2,97.0,4,72.0,2,135.0,8,15.32,6,36.61,6,72.71,,,,,0.0,429.0
Leibniz Universität Hannover,Germany,ELECTRIC,7,13,76.0,14,54.4,16,62.0,6,28.85,,,10,4.5,4,74.64,3,89.46,0.0,390.0
University of Ljubljana,Slovenia,ELECTRIC,8,17,55.81,15,48.8,13,78.0,4,39.55,4,48.73,3,83.29,,,,,0.0,354.0
Escola Superior d,Spain,ELECTRIC,9,1,100.0,2,74.0,6,113.0,10,13.11,,,9,8.25,,,,,0.0,308.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,10,7,83.13,10,62.5,4,120.0,,,,,,,,,,,0.0,266.0
Universität Bayreuth,Germany,ELECTRIC,11,16,65.31,17,46.2,14,72.0,7,16.18,,,7,22.16,5,25.0,,,0.0,247.0
Technische Hochschule Augsburg,Germany,ELECTRIC,12,18,49.88,9,64.2,14,72.0,4,39.55,,,8,17.71,,,,,0.0,243.0
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Germany,ELECTRIC,13,3,96.0,10,62.5,12,82.0,,,,,,,,,,,0.0,240.0
Ostfalia University of Applied Sciences,Germany,ELECTRIC,14,10,79.56,12,60.3,10,95.0,,,,,,,,,,,0.0,235.0
Chalmers University of Technology,Sweden,ELECTRIC,15,10,79.56,21,33.9,8,106.0,12,3.5,,,,,,,,,0.0,223.0
TECNUN - University of Navarra,Spain,ELECTRIC,16,7,83.13,19,38.4,11,85.0,,,,,,,,,,,0.0,207.0
Hochschule für Angewandte Wissenschaften Hof,Germany,ELECTRIC,17,12,78.38,8,69.1,19,42.0,,,,,,,,,,,0.0,189.0
Technische Universität Braunschweig,Germany,ELECTRIC,18,20,26.13,7,69.8,17,58.0,12,3.5,7,22.24,,,,,,,0.0,180.0
Duale Hochschule Baden-Württemberg - Mannheim,Germany,ELECTRIC,19,14,70.06,13,55.9,18,43.0,,,,,,,,,,,-5.0,164.0
University of Burgundy - ISAT,France,ELECTRIC,20,21,21.38,18,45.1,20,40.0,,,,,,,,,,,-5.0,101.0
University of Stavanger,Norway,ELECTRIC,21,19,43.94,20,35.2,21,38.0,,,,,,,,,,,-20.0,97.0
