name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Monash University,Australia,COMBUSTION,1,8,68.5,7,68.4,3,135.0,1,75.0,1,50.0,1,150.0,1,324.3,,,0.0,871.0
Swinburne University of Technology,Australia,COMBUSTION,2,13,65.0,12,62.8,6,110.0,7,52.6,6,29.3,2,126.8,3,312.4,,,0.0,759.0
Sophia University,Japan,COMBUSTION,3,21,52.6,14,58.0,14,87.5,4,59.4,2,37.0,6,85.6,2,322.8,,,0.0,703.0
University of Melbourne,Australia,COMBUSTION,4,12,65.3,9,63.5,10,91.0,9,50.5,3,33.2,7,70.6,4,279.5,,,0.0,654.0
Edith Cowan University,Australia,COMBUSTION,5,22,49.4,6,68.8,6,110.0,2,73.7,7,28.3,9,55.2,5,265.0,,,0.0,650.0
University of Missouri,United States,COMBUSTION,6,10,67.9,4,70.9,5,115.0,6,56.5,4,32.0,5,90.9,6,189.0,,,0.0,622.0
University of New South Wales - Australian Defence Force Academy,Australia,COMBUSTION,7,7,71.2,10,63.1,4,125.0,3,68.5,9,15.7,13,34.4,8,159.2,,,0.0,537.0
University of Wollongong,Australia,COMBUSTION,8,4,76.0,8,67.2,11,90.5,10,45.6,,,14,22.9,7,177.0,,,0.0,479.0
"University of Technology, Sydney",Australia,COMBUSTION,9,24,44.0,5,69.6,8,100.0,5,58.8,11,2.5,11,43.9,9,138.8,,,0.0,458.0
University of Auckland,New Zealand,COMBUSTION,10,19,57.2,1,75.0,1,150.0,13,22.1,,,3,108.6,,,,,0.0,413.0
Queensland University of Technology,Australia,COMBUSTION,11,6,73.7,19,50.4,23,57.0,8,52.0,5,29.9,4,104.1,,,,,0.0,367.0
University of Adelaide,Australia,COMBUSTION,12,17,61.8,26,29.6,21,61.0,,,,,8,58.1,10,123.9,,,0.0,334.0
Curtin University,Australia,COMBUSTION,13,20,55.7,17,53.6,18,78.0,11,44.9,8,19.6,12,43.7,,,,,0.0,295.0
RMIT University,Australia,COMBUSTION,14,15,63.7,2,74.7,2,140.0,,,,,,,,,,,0.0,278.0
The University of Newcastle,Australia,COMBUSTION,15,26,36.3,23,42.3,12,88.0,12,23.7,,,10,46.6,,,,,0.0,237.0
University of Sydney,Australia,COMBUSTION,16,9,68.4,3,74.4,15,85.0,,,,,16,7.5,,,,,0.0,235.0
RMIT University,Australia,ELECTRIC,17,1,82.5,13,59.8,15,85.0,,,,,16,7.5,,,,,0.0,235.0
Tokyo Denki University,Japan,COMBUSTION,18,4,76.0,25,32.1,9,95.0,,,,,,,,,,,0.0,203.0
University of New South Wales,Australia,COMBUSTION,19,23,47.8,18,51.8,12,88.0,,,,,16,7.5,,,,,0.0,195.0
Yeungnam University College,South Korea,COMBUSTION,20,11,65.7,19,50.4,25,42.0,14,12.0,,,15,19.6,,,,,0.0,190.0
University of Western Australia,Australia,COMBUSTION,21,18,60.4,11,62.9,20,65.0,,,,,,,,,,,0.0,188.0
University of Waikato,New Zealand,COMBUSTION,22,3,77.8,15,54.5,24,53.0,,,,,,,,,,,0.0,185.0
University of South Australia,Australia,COMBUSTION,23,14,64.0,24,40.6,22,59.0,15,3.5,10,2.6,16,7.5,,,,,0.0,177.0
Swinburne University of Technology,Australia,ELECTRIC,24,16,62.2,27,22.3,17,80.0,,,,,,,,,,,0.0,164.0
Deakin University,Australia,COMBUSTION,25,25,42.3,16,53.9,19,67.0,,,,,,,,,,,0.0,163.0
National Institute of Technology - Jamshedpur,India,COMBUSTION,26,2,79.9,21,46.9,,,,,,,,,,,,,0.0,127.0
University of Queensland,Australia,COMBUSTION,27,27,35.4,22,45.0,26,20.0,,,,,16,7.5,,,,,0.0,108.0
