name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,1,4,88.0,12,45.0,2,145.0,2,73.79,3,62.49,1,100.0,1,325.0,6,93.34,0.0,933.0
Tallinn TU UAS,Estonia,ELECTRIC,2,8,80.0,8,57.0,3,140.0,1,75.0,1,75.0,3,72.18,3,279.2,5,93.55,0.0,872.0
Czech Technical University in Prague,Czech Republic,ELECTRIC,3,6,84.0,1,72.0,6,116.0,5,60.32,5,43.59,4,60.56,2,304.26,7,88.0,0.0,829.0
Budapest University of Technology and Economics,Hungary,ELECTRIC,4,4,88.0,7,64.0,5,127.0,4,65.17,4,57.75,6,46.79,4,212.29,1,100.0,0.0,761.0
Politecnico di Torino,Italy,ELECTRIC,5,7,81.0,3,70.0,8,104.0,3,70.26,2,72.56,2,72.32,5,190.1,3,94.95,0.0,755.0
Helsinki Metropolia University of Applied Sciences,Finland,ELECTRIC,6,9,77.0,12,45.0,12,81.0,5,60.32,6,38.03,5,49.39,6,167.95,2,96.27,0.0,615.0
Slovak University of Technology in Bratislava,Slovakia,ELECTRIC,7,14,34.0,8,57.0,13,69.0,8,30.37,10,14.69,8,12.88,7,46.25,4,94.44,0.0,359.0
Deggendorf Institute of Technology,Germany,ELECTRIC,8,3,89.0,5,65.0,7,111.0,7,32.29,6,38.03,9,4.5,,,,,0.0,340.0
Universidade de Lisboa - Instituto Superior Técnico,Portugal,ELECTRIC,9,1,95.0,4,67.0,1,150.0,,,,,,,,,,,0.0,312.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,10,11,72.0,11,55.0,4,129.0,,,,,7,16.88,8,25.0,,,0.0,298.0
Escola d,Spain,ELECTRIC,11,2,93.0,8,57.0,11,89.0,,,8,26.89,9,4.5,8,25.0,,,0.0,295.0
Fachhochschule Kiel,Germany,ELECTRIC,12,9,77.0,5,65.0,10,96.0,,,9,25.81,,,,,,,0.0,264.0
Hochschule Mannheim,Germany,ELECTRIC,13,12,65.0,2,71.0,9,102.0,,,,,,,,,,,0.0,238.0
Hochschule für Angewandte Wissenschaften Hof,Germany,ELECTRIC,14,13,53.0,14,41.0,14,68.0,9,10.27,11,3.5,9,4.5,,,,,0.0,180.0
