name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
École de Technologie Superieure,Canada,COMBUSTION,1,11,70.0,5,68.1,1,150.0,5,79.6,1,75.0,1,125.0,5,210.9,3,90.2,0.0,869.0
University of Michigan - Ann Arbor,United States,COMBUSTION,2,14,64.6,13,59.1,9,100.0,1,100.0,5,62.2,2,116.6,1,275.0,6,75.3,0.0,853.0
Carleton University,Canada,COMBUSTION,3,1,84.9,6,66.9,16,80.0,11,59.7,2,68.5,3,114.6,2,248.2,7,73.0,0.0,796.0
University of Cincinnati,United States,COMBUSTION,4,20,57.4,19,53.6,5,115.0,15,55.6,9,42.7,6,95.7,3,243.5,2,98.8,-10.0,752.0
University of Waterloo,Canada,COMBUSTION,5,17,61.1,11,59.4,6,105.0,8,71.1,3,64.8,15,73.3,6,187.6,8,71.2,0.0,694.0
University of South Florida,United States,COMBUSTION,6,13,67.6,15,57.7,16,80.0,3,86.4,11,28.6,11,81.6,4,222.4,10,63.0,0.0,687.0
École Polytechnique de Montréal,Canada,COMBUSTION,7,12,68.9,9,60.6,3,130.0,12,57.9,6,60.3,4,101.1,11,18.0,1,100.0,0.0,597.0
Iowa State University,United States,COMBUSTION,8,16,63.0,9,60.6,6,105.0,17,28.2,12,21.0,17,49.6,7,155.9,4,84.8,0.0,568.0
The Ohio State University,United States,COMBUSTION,9,22,43.4,17,57.0,6,105.0,7,73.9,15,17.1,5,99.3,12,17.0,5,77.0,0.0,490.0
Rochester Institute of Technology,United States,COMBUSTION,10,21,47.5,12,59.3,4,125.0,9,65.0,4,63.6,7,95.4,18,3.0,,,0.0,459.0
Ryerson University,Canada,COMBUSTION,11,4,76.8,2,73.6,11,95.0,6,76.5,13,20.5,9,90.7,13,15.0,,,0.0,448.0
Oakland University,United States,COMBUSTION,12,8,72.3,8,61.6,9,100.0,10,62.9,8,46.5,12,79.6,10,21.0,,,0.0,444.0
University of Pittsburgh,United States,COMBUSTION,13,19,60.4,1,75.0,11,95.0,4,82.1,10,37.7,10,89.6,18,3.0,,,0.0,443.0
University of Connecticut,United States,COMBUSTION,14,9,71.4,4,69.0,11,95.0,2,88.3,14,18.3,8,93.2,15,10.0,,,-10.0,435.0
Cégep du Vieux Montréal,Canada,COMBUSTION,15,10,70.8,21,39.0,20,65.0,14,55.9,16,15.8,16,72.0,9,25.0,9,65.7,0.0,409.0
"Rutgers, The State University of New Jersey",United States,COMBUSTION,16,15,64.0,18,56.8,2,135.0,13,57.8,17,10.1,14,76.0,16,9.0,,,0.0,409.0
University of Toledo,United States,COMBUSTION,17,7,72.7,7,64.0,15,85.0,19,6.8,7,50.3,13,76.3,17,6.0,,,0.0,361.0
University of Alberta,Canada,COMBUSTION,18,5,75.4,13,59.1,11,95.0,16,48.8,18,3.5,18,39.7,14,14.0,,,0.0,336.0
University of Louisiana at Lafayette,United States,COMBUSTION,19,2,81.3,22,20.0,21,60.0,18,27.1,18,3.5,19,30.4,8,44.0,11,29.3,0.0,296.0
University of Illinois at Chicago,United States,COMBUSTION,20,6,74.8,3,72.0,19,75.0,,,,,,,,,,,0.0,222.0
Queen,Canada,COMBUSTION,21,17,61.1,16,57.4,16,80.0,,,,,,,20,2.0,,,0.0,200.0
University of Massachusetts Lowell,United States,COMBUSTION,22,3,80.5,20,49.8,22,50.0,,,,,,,,,,,0.0,180.0
