name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Centro Universitário da FEI,Brazil,COMBUSTION,1,3,60.13,2,70.83,1,119.73,1,75.0,1,50.0,2,133.27,1,300.0,2,69.05,0.0,878.0
Centro Universitário Facens,Brazil,COMBUSTION,2,7,46.65,6,41.67,13,7.12,4,52.98,2,44.03,1,150.0,2,274.03,1,100.0,0.0,716.0
Escola de Engenharia de São Carlos da Universidade de São Paulo,Brazil,COMBUSTION,3,6,47.46,1,75.0,2,103.06,2,66.46,3,23.8,3,86.54,3,266.13,4,14.85,0.0,683.0
Universidade Estadual de Campinas,Brazil,COMBUSTION,4,4,59.1,9,25.0,3,73.68,3,53.17,4,2.5,6,29.36,4,223.4,3,46.63,0.0,513.0
Universidade Federal do Rio de Janeiro,Brazil,COMBUSTION,5,1,67.43,5,66.67,5,62.65,6,16.27,,,5,34.85,,,,,0.0,248.0
Escola Politécnica da Universidade de São Paulo,Brazil,COMBUSTION,6,5,55.5,7,37.5,7,53.25,7,14.5,4,2.5,7,7.5,,,,,0.0,171.0
Universidade Estadual Paulista - Guaratinguetá,Brazil,COMBUSTION,7,8,40.31,2,70.83,8,49.45,,,,,,,,,,,0.0,161.0
Centro Federal de Educação Tecnológica de Minas Gerais,Brazil,COMBUSTION,8,2,63.84,11,12.5,4,68.4,,,,,7,7.5,,,,,0.0,152.0
Universidade Paulista,Brazil,COMBUSTION,9,12,17.28,12,8.33,6,54.82,,,,,,,5,50.76,5,14.55,0.0,146.0
Instituto Mauá de Tecnologia,Brazil,COMBUSTION,10,11,28.0,10,20.83,9,34.35,5,40.54,4,2.5,,,,,,,0.0,126.0
Centro integrado de Manufatura e Tecnologia - SENAI/CIMATEC,Brazil,COMBUSTION,11,9,31.96,2,70.83,12,17.05,,,,,,,,,,,0.0,120.0
Universidade Federal Fluminense - Niterói,Brazil,COMBUSTION,12,10,29.54,7,37.5,11,22.42,,,,,,,,,,,0.0,89.0
Universidade Paulista - Sorocaba,Brazil,COMBUSTION,13,,,,,10,24.17,,,,,4,42.43,,,,,0.0,67.0
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,COMBUSTION,14,13,7.5,,,14,5.12,,,,,,,,,,,0.0,13.0
