name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
GFR DHBW Ravensburg & Oregon State University,Bermuda,COMBUSTION,1,15,75.59,32,53.52,1,150.0,29,48.75,44,36.74,1,100.0,1,325.0,2,92.55,0.0,882.0
Technical University of Munich,Germany,COMBUSTION,2,10,79.11,4,72.0,2,145.0,6,68.22,5,67.8,2,82.16,2,270.66,4,73.76,0.0,859.0
Universität Stuttgart,Germany,COMBUSTION,3,3,83.32,3,73.0,3,140.0,5,69.57,13,56.18,6,78.5,6,243.96,10,68.06,0.0,813.0
Helsinki Metropolia University of Applied Sciences,Finland,COMBUSTION,4,34,68.35,19,61.96,8,115.0,3,69.82,17,52.31,10,71.58,3,257.67,5,72.22,0.0,769.0
Rochester Institute of Technology,United States,COMBUSTION,5,1,87.58,6,67.69,15,90.0,1,75.0,4,69.15,3,82.1,7,238.91,14,57.75,0.0,768.0
Hochschule für Angewandte Wissenschaften Hamburg,Germany,COMBUSTION,6,13,76.72,13,64.51,23,80.0,23,53.95,7,67.05,8,74.73,5,246.99,7,70.08,0.0,734.0
University Of Hertfordshire,United Kingdom,COMBUSTION,7,2,86.34,2,74.0,4,135.0,17,59.5,36,41.4,43,4.5,8,234.27,22,50.94,0.0,686.0
University of Michigan - Ann Arbor,United States,COMBUSTION,8,36,67.05,32,53.52,9,110.0,10,64.21,37,40.64,12,66.33,4,247.77,19,53.34,-20.0,683.0
Karlsruhe Institute of Technology,Germany,COMBUSTION,9,5,80.93,9,67.13,23,80.0,11,63.77,2,70.38,11,70.59,11,186.02,15,55.77,0.0,675.0
Hochschule Esslingen,Germany,COMBUSTION,10,29,69.48,65,37.27,5,130.0,7,65.4,28,45.27,19,54.66,12,183.62,20,52.84,0.0,639.0
Tallinn TU UAS,Estonia,COMBUSTION,11,22,73.08,31,55.43,10,105.0,8,65.05,34,42.43,29,31.44,10,205.51,21,52.28,0.0,630.0
The University of Akron,United States,COMBUSTION,12,14,75.78,28,56.62,33,70.0,14,62.89,18,52.03,33,24.88,9,228.86,17,54.72,0.0,626.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,COMBUSTION,13,44,60.91,5,70.0,15,90.0,33,47.25,22,48.51,21,51.05,13,163.31,3,79.56,0.0,611.0
