name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Universität Stuttgart,Germany,ELECTRIC,1,3,98.0,13,61.97,2,145.0,1,75.0,1,75.0,1,100.0,1,325.0,1,100.0,0.0,980.0
Tallinn TU UAS,Estonia,ELECTRIC,2,7,92.94,6,70.92,4,135.0,3,56.2,3,55.79,2,62.33,2,285.13,3,91.51,0.0,850.0
Brno University of Technology,Czech Republic,ELECTRIC,3,11,89.77,23,41.57,1,150.0,17,3.5,4,54.8,6,35.54,3,213.71,2,99.64,0.0,689.0
Budapest University of Technology and Economics,Hungary,ELECTRIC,4,2,99.0,28,31.3,7,124.95,5,54.78,5,46.55,4,39.89,4,128.96,4,68.63,0.0,594.0
Technische Universität Hamburg,Germany,ELECTRIC,5,1,100.0,18,46.94,5,130.0,10,39.81,7,42.97,3,47.56,,,,,0.0,407.0
Università degli studi di Padova,Italy,ELECTRIC,6,10,90.3,9,68.34,11,118.0,2,60.1,10,36.83,11,4.5,,,,,0.0,378.0
Politecnico di Milano,Italy,ELECTRIC,7,6,95.05,11,67.03,3,140.0,11,37.13,8,39.92,11,4.5,,,,,-10.0,374.0
UAS Würzburg-Schweinfurt,Germany,ELECTRIC,8,16,75.51,17,50.6,16,106.0,12,35.63,15,27.92,7,32.09,,,,,0.0,328.0
Czech Technical University in Prague,Czech Republic,ELECTRIC,9,27,58.37,2,74.0,10,118.5,4,55.94,13,32.25,11,4.5,,,,,-20.0,324.0
Universität Paderborn,Germany,ELECTRIC,10,24,61.78,16,54.5,23,89.0,8,41.25,11,34.44,10,17.01,5,25.0,,,0.0,323.0
Norwegian University of Science and Technology,Norway,ELECTRIC,11,13,86.6,20,45.08,13,113.41,,,2,70.62,,,,,,,0.0,316.0
Technische Universität Graz,Austria,ELECTRIC,12,5,96.0,,,8,123.5,15,24.86,6,43.4,8,27.07,,,,,-10.0,305.0
GFR DHBW Ravensburg & Oregon State University,Bermuda,ELECTRIC,13,20,68.65,5,71.0,12,116.07,7,42.57,,,,,,,,,0.0,298.0
École Polytechnique Fédérale de Lausanne,Switzerland,ELECTRIC,14,33,22.18,3,73.0,14,111.5,16,23.56,9,36.92,9,26.08,,,,,0.0,293.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,15,31,54.14,15,55.12,9,119.5,14,25.38,18,6.99,11,4.5,5,25.0,,,0.0,291.0
Fachhochschule Kiel,Germany,ELECTRIC,16,7,92.94,12,62.13,15,109.5,6,42.85,,,,,,,,,-20.0,287.0
ETH Zürich,Switzerland,ELECTRIC,17,12,89.56,,,6,125.4,,,12,33.04,5,37.29,,,,,0.0,285.0
University of Seville,Spain,ELECTRIC,18,25,60.73,7,70.07,20,95.5,13,25.5,16,23.77,11,4.5,,,,,0.0,280.0
Hochschule Pforzheim,Germany,ELECTRIC,19,9,92.83,4,72.0,17,105.0,,,19,3.5,,,,,,,0.0,273.0
National Technical University of Athens,Greece,ELECTRIC,20,4,97.0,1,75.0,28,81.0,,,,,,,,,,,0.0,253.0
Fachhochschule München,Germany,ELECTRIC,21,28,57.84,10,67.19,18,103.0,,,17,22.62,,,,,,,0.0,251.0
University of Patras,Greece,ELECTRIC,22,29,57.03,19,46.79,32,61.5,9,40.84,14,31.02,,,,,,,-10.0,227.0
Universidad Politécnica de Madrid (UPM),Spain,ELECTRIC,23,17,74.46,14,55.97,26,84.0,,,,,,,,,,,0.0,214.0
Linköping University,Sweden,ELECTRIC,24,21,68.12,8,68.43,24,88.5,,,,,,,,,,,-20.0,205.0
Alma Mater Studiorum - Università di Bologna,Italy,ELECTRIC,25,26,58.61,22,42.04,19,99.5,,,,,,,,,,,0.0,200.0
UAS Kempten,Germany,ELECTRIC,26,15,80.79,29,29.89,25,87.0,,,,,,,,,,,0.0,198.0
Hochschule RheinMain,Germany,ELECTRIC,27,22,67.59,25,37.13,22,90.0,,,,,,,,,,,0.0,195.0
Fachhochschule Konstanz,Germany,ELECTRIC,28,19,73.68,27,32.07,27,81.5,,,,,,,,,,,0.0,187.0
University of Applied Sciences Ravensburg-Weingarten,Germany,ELECTRIC,29,14,83.96,,,21,91.5,,,,,,,,,,,0.0,175.0
University of Belgrade,Serbia,ELECTRIC,30,23,66.01,26,33.63,33,50.0,,,,,,,,,,,0.0,150.0
Poznan University of Technology,Poland,ELECTRIC,31,18,73.93,21,44.14,29,77.5,,,,,,,,,,,-50.0,146.0
Technische Universität Braunschweig,Germany,ELECTRIC,32,32,28.09,24,39.55,31,70.5,,,,,,,,,,,0.0,138.0
University of Ljubljana,Slovenia,ELECTRIC,33,30,55.45,,,30,71.5,,,,,,,,,,,0.0,127.0
