name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
National Technical University of Athens,Greece,ELECTRIC,1,8,37.0,3,73.0,1,150.0,1,75.0,1,75.0,1,100.0,1,325.0,3,87.48,0.0,922.0
Brno University of Technology,Czech Republic,ELECTRIC,2,4,64.0,1,75.0,5,115.0,6,8.78,4,26.23,4,4.5,3,112.9,1,100.0,0.0,506.0
Warsaw University of Technology,Poland,ELECTRIC,3,,,2,74.0,14,5.0,3,50.14,2,52.52,,,2,216.83,2,89.96,0.0,488.0
UAS Würzburg-Schweinfurt,Germany,ELECTRIC,4,1,90.0,9,57.0,8,109.0,2,53.88,6,3.5,,,,,,,0.0,313.0
École Polytechnique Fédérale de Lausanne,Switzerland,ELECTRIC,5,9,34.0,8,62.0,7,110.0,5,11.83,3,42.84,2,35.63,,,,,0.0,296.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,6,2,81.0,,,2,145.0,4,16.91,5,24.21,3,21.94,,,,,0.0,289.0
Hochschule Esslingen,Germany,ELECTRIC,7,5,62.0,7,63.0,4,130.0,,,,,,,,,,,0.0,255.0
Czech Technical University in Prague,Czech Republic,ELECTRIC,8,5,62.0,5,69.0,6,112.0,,,,,,,,,,,0.0,243.0
Technische Universität Ilmenau,Germany,ELECTRIC,9,7,58.0,4,72.0,8,109.0,,,,,,,,,,,0.0,239.0
Fachhochschule für Wirtschaft und Technik,Germany,ELECTRIC,10,10,33.0,10,56.0,11,105.0,,,,,,,,,,,0.0,194.0
Bern University of Applied Sciences,Switzerland,ELECTRIC,11,13,19.0,6,66.0,10,106.0,,,,,,,,,,,0.0,191.0
Universität Siegen,Germany,ELECTRIC,12,12,31.0,,,3,140.0,,,,,4,4.5,,,,,0.0,176.0
Technische Hochschule Ostwestfalen-Lippe,Germany,ELECTRIC,13,10,33.0,11,45.0,12,85.0,,,,,,,,,,,0.0,163.0
Yıldız Technical University,Türkiye,ELECTRIC,14,3,80.0,,,13,66.0,,,,,,,,,,,0.0,146.0
