name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
TU Delft,Netherlands,ELECTRIC,1,21,58.8,1,75.0,5,140.0,2,69.2,5,33.3,4,141.9,2,292.4,3,98.7,0.0,909.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,2,9,71.1,53,47.1,7,130.0,14,40.2,6,31.3,8,116.2,4,263.3,7,93.4,0.0,792.0
Universität Stuttgart,Germany,COMBUSTION,3,5,84.8,6,69.3,7,130.0,,,,,2,147.5,8,250.9,11,68.3,0.0,751.0
University of Bath,United Kingdom,COMBUSTION,4,54,43.9,22,57.5,12,125.0,18,34.5,13,24.2,12,94.7,1,300.0,10,68.6,0.0,748.0
Technical University of Munich,Germany,ELECTRIC,5,24,57.0,13,61.3,34,95.0,4,64.9,7,27.5,7,128.0,13,208.5,8,92.7,-10.0,725.0
Oxford Brookes University,United Kingdom,COMBUSTION,6,18,62.0,62,42.5,2,145.0,12,44.3,15,20.9,14,92.7,7,252.3,21,38.6,0.0,698.0
University of Birmingham,United Kingdom,COMBUSTION,7,57,39.6,16,60.5,24,105.0,10,45.4,12,25.2,15,86.7,3,282.6,24,35.3,-10.0,670.0
Lund University,Sweden,COMBUSTION,8,7,83.1,18,59.5,44,85.0,17,35.1,17,19.4,10,97.9,11,225.5,13,59.1,0.0,665.0
Wroclaw University of Technology,Poland,COMBUSTION,9,26,56.4,15,60.9,24,105.0,3,66.4,16,19.5,11,96.1,14,205.6,17,47.4,0.0,657.0
Technische Universität Darmstadt,Germany,ELECTRIC,10,17,62.2,9,63.1,12,125.0,5,54.6,30,7.1,23,59.4,12,219.6,6,94.6,-30.0,656.0
Liverpool John Moores University,United Kingdom,COMBUSTION,11,25,56.7,24,56.9,34,95.0,15,38.7,19,16.2,16,85.7,5,259.9,20,43.5,0.0,653.0
University of Surrey,United Kingdom,COMBUSTION,12,2,87.0,36,52.4,34,95.0,9,46.3,34,3.6,18,79.6,10,231.5,25,32.6,-10.0,618.0
Loughborough University,United Kingdom,COMBUSTION,13,14,68.4,66,41.1,57,65.0,19,34.4,19,16.2,17,81.1,6,256.2,16,49.7,0.0,612.0
Hochschule für Technik und Wirtschaft Mittweida,Germany,COMBUSTION,14,36,51.9,42,50.3,34,95.0,24,28.9,33,5.2,22,64.4,9,232.4,15,54.4,0.0,582.0
Karlstad University,Sweden,COMBUSTION,15,30,55.1,56,46.0,34,95.0,22,29.5,11,26.7,26,51.7,15,195.8,9,77.6,0.0,577.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,16,23,57.7,42,50.3,12,125.0,7,52.2,3,35.5,9,115.0,29,17.0,4,96.6,0.0,549.0
ETH Zürich,Switzerland,ELECTRIC,17,34,52.6,32,55.0,1,149.0,1,75.0,1,50.0,3,147.2,,,,,0.0,529.0
University of Huddersfield,United Kingdom,COMBUSTION,18,11,69.6,7,66.7,16,115.0,34,3.5,31,6.9,29,42.2,18,138.4,14,56.7,0.0,499.0
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,ELECTRIC,19,43,47.9,10,62.7,16,115.0,,,9,27.2,36,19.3,17,161.2,5,95.2,-30.0,498.0
École Centrale de Lyon,France,COMBUSTION,20,47,45.7,39,52.2,34,95.0,8,49.5,18,17.7,28,44.2,16,175.1,,,0.0,479.0
Universität Stuttgart,Germany,ELECTRIC,21,22,57.8,48,48.2,4,142.0,13,44.1,,,1,150.0,32,11.0,,,0.0,453.0
Technical University of Munich,Germany,COMBUSTION,22,12,69.4,51,47.4,16,115.0,16,37.0,4,34.5,6,136.6,47,2.0,,,0.0,442.0
Poznan University of Technology,Poland,COMBUSTION,23,33,53.6,80,31.9,24,105.0,25,28.5,26,13.0,33,35.5,20,125.1,22,37.9,-20.0,411.0
Technische Universität Graz,Austria,COMBUSTION,24,70,27.4,50,47.8,16,115.0,11,45.2,2,36.6,5,137.2,32,11.0,,,-10.0,410.0
