name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Osaka University,Japan,COMBUSTION,1,2,79.55,13,56.25,5,123.0,5,86.22,5,64.25,2,116.29,3,271.9,34,55.88,0.0,853.0
Kyoto Institute of Technology,Japan,COMBUSTION,2,6,72.93,21,52.5,12,108.0,20,67.37,2,71.37,1,125.0,1,275.0,10,68.29,0.0,840.0
Nagoya University,Japan,ELECTRIC,3,19,50.37,10,60.0,2,140.0,3,90.81,32,34.49,16,95.22,16,224.22,7,81.4,0.0,777.0
Tongji University,China,COMBUSTION,4,43,23.67,13,56.25,9,114.0,2,97.83,16,45.84,12,104.04,2,273.48,29,59.35,0.0,774.0
Fachhochschule Joanneum Graz,Austria,COMBUSTION,5,67,12.36,21,52.5,1,150.0,16,69.21,1,75.0,3,116.14,13,232.46,47,32.57,0.0,740.0
Meijo University,Japan,COMBUSTION,6,5,74.56,4,63.75,8,121.0,31,57.15,7,59.1,13,103.23,21,198.32,22,62.48,0.0,740.0
Shibaura Institute of Technology,Japan,COMBUSTION,7,12,58.83,2,71.25,24,85.0,6,85.08,13,52.13,4,114.9,14,231.44,45,39.9,0.0,739.0
Tokai University,Japan,COMBUSTION,8,64,15.0,13,56.25,5,123.0,11,80.0,15,51.79,18,94.29,10,243.24,15,66.37,-20.0,710.0
Nagoya Institute of Technology,Japan,COMBUSTION,9,9,63.64,13,56.25,5,123.0,29,62.61,4,66.99,5,113.86,29,176.95,12,67.9,-30.0,701.0
Tongji University,China,ELECTRIC,10,54,18.06,13,56.25,3,135.0,,,25,39.43,17,95.14,9,244.26,3,90.31,0.0,678.0
Kobe University,Japan,COMBUSTION,11,13,54.46,1,75.0,13,103.0,4,86.73,21,42.51,10,105.94,32,168.79,30,58.11,-20.0,675.0
Tokyo University of Science,Japan,COMBUSTION,12,16,50.76,48,37.5,13,103.0,15,69.77,44,25.47,26,87.2,11,237.95,25,61.76,0.0,673.0
Yokohama National University,Japan,COMBUSTION,13,11,59.28,13,56.25,11,109.0,55,29.02,9,55.9,8,106.83,22,194.53,23,62.41,0.0,673.0
University of Fukui,Japan,COMBUSTION,14,15,52.3,30,48.75,29,77.0,24,65.19,27,38.31,37,62.27,4,267.42,38,52.81,0.0,664.0
Shizuoka University,Japan,COMBUSTION,15,30,30.52,4,63.75,18,90.0,36,54.94,37,30.93,35,66.19,7,253.61,39,50.75,0.0,641.0
Ibaraki University,Japan,COMBUSTION,16,14,53.78,60,33.75,9,114.0,18,68.54,8,57.95,6,108.48,36,155.09,40,47.62,0.0,639.0
Tokyo University of Agriculture and Technology,Japan,COMBUSTION,17,8,67.47,60,33.75,47,59.0,43,49.24,50,14.62,28,81.95,6,256.98,20,64.12,0.0,627.0
Tokyo City University,Japan,COMBUSTION,18,4,76.55,38,45.0,55,53.0,7,84.89,20,43.99,19,93.89,20,198.37,50,30.58,0.0,626.0
Nippon Institute of Technology,Japan,COMBUSTION,19,1,81.07,4,63.75,28,80.0,40,51.79,28,36.84,23,89.3,33,166.21,8,75.23,-20.0,624.0
Kasetsart University,Thailand,COMBUSTION,20,66,13.16,38,45.0,21,89.0,14,72.15,39,30.2,24,89.16,18,213.77,36,55.31,0.0,608.0
Universitas Negeri Yogyakarta,Indonesia,COMBUSTION,21,31,29.61,13,56.25,43,60.0,26,64.37,18,44.3,30,79.22,19,205.71,14,66.94,0.0,606.0
Sanyo-Onoda City University at Tokyo University of Science,Japan,COMBUSTION,22,17,50.73,45,41.25,51,55.0,8,82.02,31,35.16,34,67.91,15,230.39,44,40.94,0.0,603.0
Waseda University,Japan,COMBUSTION,23,49,21.68,10,60.0,18,90.0,21,67.21,14,51.96,15,100.12,25,185.66,43,44.85,-20.0,601.0
Shizuoka Institute of Science and Technology,Japan,COMBUSTION,24,55,17.87,84,15.0,50,56.0,42,50.77,35,32.25,14,100.83,8,251.42,11,68.05,0.0,592.0
Toyohashi University of Technology,Japan,ELECTRIC,25,26,33.75,30,48.75,25,84.0,60,20.03,22,41.26,32,71.53,27,183.74,1,100.0,-1.0,582.0
Gadjah Mada University,Indonesia,COMBUSTION,26,42,23.95,3,67.5,34,70.0,63,4.5,10,54.36,33,69.31,17,220.77,16,65.79,0.0,576.0
Nihon Automobile College,Japan,COMBUSTION,27,22,41.7,4,63.75,32,71.0,10,80.42,11,52.61,7,107.28,49,75.09,41,47.01,0.0,539.0
Aichi Institute of Technology,Japan,COMBUSTION,28,21,42.43,30,48.75,26,83.0,48,38.22,38,30.73,46,49.72,28,183.66,35,55.52,0.0,532.0
