name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,1,7,90.0,9,67.0,5,130.0,1,75.0,1,75.0,1,100.0,1,325.0,6,90.74,0.0,953.0
Brno University of Technology,Czech Republic,ELECTRIC,2,9,86.0,13,64.0,2,145.0,10,48.12,3,51.55,2,88.63,3,190.66,2,94.26,0.0,768.0
Technische Universität Berlin,Germany,ELECTRIC,3,31,45.0,2,74.0,6,125.0,13,42.95,3,51.55,,,2,236.0,5,91.93,0.0,666.0
UAS Würzburg-Schweinfurt,Germany,ELECTRIC,4,24,59.0,21,54.0,11,103.0,8,49.46,14,20.42,8,44.01,4,111.39,7,90.2,0.0,531.0
Bern University of Applied Sciences,Switzerland,ELECTRIC,5,28,49.0,33,35.0,12,101.0,5,60.41,10,29.42,6,55.55,5,98.09,3,92.97,0.0,521.0
University of Toronto,Canada,ELECTRIC,6,21,63.0,6,70.0,9,107.0,12,46.8,13,27.17,11,9.93,6,89.97,1,100.0,0.0,514.0
Deggendorf Institute of Technology,Germany,ELECTRIC,7,7,90.0,26,49.0,4,135.0,15,25.16,16,7.31,9,36.83,8,81.64,8,84.13,0.0,509.0
National Tsing Hua University,Taiwan,ELECTRIC,8,30,46.0,27,48.0,17,92.0,4,64.0,5,50.86,12,4.5,7,87.6,4,92.21,0.0,485.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,9,13,79.0,17,61.0,7,124.0,2,72.14,2,62.53,3,84.8,,,,,0.0,483.0
Universität Bayreuth,Germany,ELECTRIC,10,4,94.0,5,71.0,12,101.0,3,65.58,8,40.56,10,26.66,,,,,0.0,399.0
National Technical University of Athens,Greece,ELECTRIC,11,25,54.0,8,68.0,8,109.0,10,48.12,11,28.01,4,83.14,,,,,0.0,390.0
University of Applied Sciences Ravensburg-Weingarten,Germany,ELECTRIC,12,1,97.0,19,55.0,15,99.0,6,54.07,9,36.21,12,4.5,,,,,0.0,346.0
University of Zagreb,Croatia,ELECTRIC,13,15,74.0,12,65.0,22,81.0,14,27.58,7,45.43,5,60.58,,,,,-10.0,344.0
Hochschule Pforzheim,Germany,ELECTRIC,14,14,78.0,4,72.0,17,92.0,6,54.07,15,13.87,12,4.5,,,,,0.0,314.0
Georg-Simon-Ohm-Hochschule Nürnberg,Germany,ELECTRIC,15,17,73.0,32,39.0,12,101.0,,,6,47.1,7,53.23,,,,,0.0,313.0
Hochschule Bonn-Rhein-Sieg,Germany,ELECTRIC,16,2,96.0,18,56.0,1,150.0,17,3.5,18,3.5,,,,,,,0.0,309.0
Technische Universität Darmstadt,Germany,ELECTRIC,17,18,71.0,11,66.0,10,105.0,16,21.48,12,27.73,12,4.5,,,,,0.0,296.0
École Polytechnique Fédérale de Lausanne,Switzerland,ELECTRIC,18,5,93.0,21,54.0,19,90.0,8,49.46,17,4.64,12,4.5,,,,,-5.0,291.0
Oxford Brookes University,United Kingdom,ELECTRIC,19,3,95.0,27,48.0,3,140.0,,,,,,,,,,,0.0,283.0
Helsinki Metropolia University of Applied Sciences,Finland,ELECTRIC,20,6,91.0,7,69.0,20,88.0,,,,,,,,,,,0.0,248.0
Czech Technical University in Prague,Czech Republic,ELECTRIC,21,10,84.0,23,52.0,15,99.0,,,,,,,,,,,0.0,235.0
Loughborough University,United Kingdom,ELECTRIC,22,20,64.0,9,67.0,21,86.0,,,,,,,,,,,0.0,217.0
Ghent University,Belgium,ELECTRIC,23,19,70.0,3,73.0,27,64.0,,,,,,,,,,,0.0,207.0
Universidad Politécnica de Madrid (UPM),Spain,ELECTRIC,24,15,74.0,25,51.0,23,75.0,,,,,,,,,,,0.0,200.0
Democritus University of Thrace,Greece,ELECTRIC,25,21,63.0,1,75.0,31,51.0,,,,,,,,,,,0.0,189.0
Hochschule Landshut,Germany,ELECTRIC,26,23,60.0,16,62.0,26,65.0,,,,,,,,,,,0.0,187.0
Hochschule für Angewandte Wissenschaften Hof,Germany,ELECTRIC,27,27,51.0,19,55.0,24,74.0,,,,,,,,,,,0.0,180.0
Universität Kassel,Germany,ELECTRIC,28,12,80.0,35,34.0,28,61.0,,,,,,,,,,,0.0,175.0
Technical University of Cluj-Napoca,Romania,ELECTRIC,29,29,47.0,14,63.0,30,54.0,,,,,,,,,,,0.0,164.0
Technische Hochschule Ostwestfalen-Lippe,Germany,ELECTRIC,30,26,53.0,33,35.0,29,56.0,,,,,,,,,,,0.0,144.0
"Hochschule Darmstadt, UAS",Germany,ELECTRIC,31,34,5.0,23,52.0,25,69.0,,,,,,,,,,,0.0,126.0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,ELECTRIC,32,11,81.0,31,40.0,,,,,,,,,,,,,0.0,121.0
Ben-Gurion University of the Negev,Israel,ELECTRIC,33,32,32.0,29,45.0,33,41.0,,,,,,,,,,,0.0,118.0
Delhi Technological University,India,ELECTRIC,34,,,14,63.0,,,,,,,,,,,,,0.0,63.0
Silesian University of Technology,Poland,ELECTRIC,35,33,17.0,30,44.0,32,48.0,,,,,,,,,,,-100.0,9.0
