name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
ETH Zürich,Switzerland,ELECTRIC,1,6,94.66,5,71.0,2,147.0,5,60.83,4,69.69,1,100.0,1,325.0,1,87.53,0.0,956.0
Universität Stuttgart,Germany,ELECTRIC,2,2,99.0,3,73.0,1,150.0,1,75.0,7,62.38,3,74.22,3,279.4,11,43.24,0.0,856.0
Budapest University of Technology and Economics,Hungary,ELECTRIC,3,12,87.01,10,63.11,5,138.0,6,60.25,3,73.67,2,79.82,2,281.36,8,57.81,0.0,841.0
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,ELECTRIC,4,4,97.0,1,75.0,6,135.0,3,73.61,1,75.0,4,73.77,4,233.16,12,39.29,0.0,802.0
Duale Hochschule Baden-Württemberg Stuttgart,Germany,ELECTRIC,5,13,86.8,11,61.93,10,121.0,2,74.4,2,74.0,6,60.49,5,230.94,6,60.04,0.0,770.0
Tallinn TU UAS,Estonia,ELECTRIC,6,10,88.77,19,52.33,12,120.0,4,67.77,6,63.48,9,33.8,6,218.43,13,31.53,-10.0,666.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,7,1,100.0,20,52.07,4,141.0,,,5,64.4,5,66.26,7,181.37,10,46.82,0.0,652.0
National Technical University of Athens,Greece,ELECTRIC,8,3,98.0,12,60.74,7,131.5,9,41.21,8,60.55,8,42.29,9,166.06,15,16.08,0.0,616.0
Aristotle University of Thessaloniki,Greece,ELECTRIC,9,19,71.2,8,63.9,16,100.0,10,40.97,11,48.35,7,47.97,8,173.54,14,24.52,0.0,570.0
Universität Siegen,Germany,ELECTRIC,10,20,70.27,20,52.07,20,91.5,7,57.33,13,43.07,10,26.96,10,93.46,7,59.95,0.0,495.0
Politecnico di Milano,Italy,ELECTRIC,11,8,94.14,7,67.06,8,126.0,11,38.32,9,51.11,15,4.5,15,25.85,3,81.51,0.0,488.0
Technische Universität Hamburg,Germany,ELECTRIC,12,5,96.0,13,60.19,21,85.0,13,35.07,12,45.04,11,21.8,11,55.22,2,85.13,0.0,483.0
Technische Universität Graz,Austria,ELECTRIC,13,16,78.85,18,52.86,9,124.0,15,26.12,21,26.21,14,4.64,14,39.24,4,81.16,0.0,433.0
École Polytechnique Fédérale de Lausanne,Switzerland,ELECTRIC,14,21,67.17,17,54.95,23,81.0,16,23.77,19,36.03,15,4.5,12,48.85,9,53.25,0.0,370.0
University of Zagreb,Croatia,ELECTRIC,15,9,92.59,25,38.66,13,116.0,14,31.81,17,36.76,12,14.96,16,25.0,,,0.0,356.0
Università degli Studi di Parma,Italy,ELECTRIC,16,11,87.11,6,69.42,17,99.75,12,38.04,17,36.76,13,6.55,,,,,0.0,338.0
Georg-Simon-Ohm-Hochschule Nürnberg,Germany,ELECTRIC,17,26,29.24,16,56.01,26,59.0,8,48.88,23,12.42,15,4.5,13,42.17,5,79.26,0.0,331.0
Technical University of Munich,Germany,ELECTRIC,18,15,82.57,2,74.0,18,99.0,18,18.27,15,40.48,15,4.5,,,,,0.0,319.0
Universität Paderborn,Germany,ELECTRIC,19,17,73.89,23,50.49,15,102.5,19,15.77,14,42.12,15,4.5,16,25.0,,,0.0,314.0
Norwegian University of Science and Technology,Norway,ELECTRIC,20,14,85.87,14,59.56,3,144.0,,,,,,,,,,,-10.0,279.0
Deggendorf Institute of Technology,Germany,ELECTRIC,21,7,94.24,24,44.97,19,93.0,17,22.38,22,16.33,15,4.5,,,,,0.0,275.0
Università degli studi di Padova,Italy,ELECTRIC,22,18,71.92,4,72.0,10,121.0,,,,,,,,,,,0.0,265.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,23,23,61.59,15,59.17,14,112.0,20,3.5,20,26.73,,,,,,,0.0,263.0
Hochschule Esslingen,Germany,ELECTRIC,24,25,47.02,22,50.62,22,83.0,20,3.5,16,37.67,15,4.5,,,,,0.0,226.0
Fachhochschule Kiel,Germany,ELECTRIC,25,22,66.34,8,63.9,25,60.0,20,3.5,,,,,,,,,0.0,194.0
Fachhochschule für Wirtschaft und Technik,Germany,ELECTRIC,26,24,57.56,,,24,64.0,,,9,51.11,,,,,,,-10.0,163.0
