name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
University of Wollongong,Australia,COMBUSTION,1,7,85.74,4,72.79,1,150.0,26,47.79,7,32.07,7,126.29,1,380.44,,,0.0,895.0
University of Missouri,United States,COMBUSTION,2,3,87.25,6,69.53,2,145.0,9,59.16,10,31.01,1,150.0,3,340.96,,,0.0,883.0
Michigan State University,United States,COMBUSTION,3,1,96.36,12,63.73,9,120.0,6,65.74,3,43.52,4,136.66,2,349.69,,,0.0,876.0
Georgia Institute of Technology,United States,COMBUSTION,4,14,82.95,2,74.69,4,140.0,13,54.06,13,28.29,12,120.42,7,309.65,,,0.0,810.0
Auburn University,United States,COMBUSTION,5,64,70.33,17,59.92,5,125.0,33,44.57,35,13.03,16,112.58,4,340.54,,,0.0,766.0
Virginia Polytechnic Institute and State University,United States,COMBUSTION,6,25,80.26,14,62.87,43,80.0,12,54.11,18,25.78,14,117.79,5,329.3,,,0.0,750.0
University of Minnesota Twin Cities,United States,COMBUSTION,7,86,59.91,91,30.66,15,100.0,22,49.46,17,26.06,12,120.42,6,315.78,,,0.0,702.0
North Carolina State University,United States,COMBUSTION,8,48,75.54,15,62.82,15,100.0,42,39.64,19,25.71,19,107.68,8,281.56,,,0.0,693.0
Cornell University,United States,COMBUSTION,9,41,77.4,7,68.52,2,145.0,3,69.27,8,31.74,33,82.64,14,212.7,,,0.0,687.0
"California State University, Northridge",United States,COMBUSTION,10,22,81.03,30,54.65,15,100.0,28,46.28,51,5.27,23,94.36,10,268.52,,,0.0,650.0
Oklahoma State University - Stillwater,United States,COMBUSTION,11,13,83.05,24,56.36,15,100.0,46,35.06,34,14.14,39,73.69,11,253.02,,,0.0,615.0
Rochester Institute of Technology,United States,COMBUSTION,12,2,89.16,20,57.98,15,100.0,19,50.93,42,10.38,29,86.05,15,198.18,,,0.0,593.0
Oakland University,United States,COMBUSTION,13,6,85.86,79,36.49,43,80.0,16,53.13,29,16.03,41,68.0,12,245.24,,,0.0,585.0
Université du Québec à Trois-Rivières,Canada,COMBUSTION,14,16,82.52,59,43.09,9,120.0,54,30.37,26,18.93,26,90.09,17,189.21,,,0.0,574.0
"California State Polytechnic University, Pomona",United States,COMBUSTION,15,55,74.57,35,53.47,15,100.0,33,44.57,27,17.55,9,122.29,27,122.62,,,0.0,535.0
Milwaukee School of Engineering,United States,COMBUSTION,16,88,59.0,96,26.87,71,60.0,41,39.77,16,26.19,58,41.72,9,272.54,,,0.0,526.0
