name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
GFR DHBW Ravensburg & Oregon State University,Bermuda,COMBUSTION,1,1,80.2,1,75.0,3,129.0,10,54.62,1,75.0,1,100.0,1,325.0,1,100.0,0.0,939.0
Hochschule Esslingen,Germany,COMBUSTION,2,3,76.24,6,58.33,2,142.0,3,70.3,2,52.23,3,78.7,2,283.67,2,87.14,0.0,849.0
Fachhochschule München,Germany,COMBUSTION,3,9,66.33,5,71.0,5,120.0,5,69.57,5,45.86,6,58.52,4,223.15,5,43.09,0.0,698.0
Fachhochschule Coburg,Germany,COMBUSTION,4,7,68.67,8,56.39,12,81.0,2,71.2,4,48.22,2,82.18,3,269.88,7,14.64,0.0,692.0
UAS Kempten,Germany,COMBUSTION,5,13,64.34,16,48.61,10,91.0,4,69.88,7,42.68,9,34.67,6,177.06,4,51.72,0.0,580.0
University of Applied Sciences Ravensburg-Weingarten,Germany,COMBUSTION,6,10,64.99,3,73.0,7,96.0,12,48.96,3,48.93,7,45.41,5,201.34,,,0.0,579.0
Alma Mater Studiorum - Università di Bologna,Italy,COMBUSTION,7,14,54.19,10,52.5,8,94.0,6,67.03,8,39.77,10,15.88,7,120.78,3,79.14,0.0,523.0
Ostbayerische Technische Hochschule Regensburg,Germany,COMBUSTION,8,8,66.77,2,74.0,4,126.0,8,59.29,12,22.69,8,44.91,8,91.88,9,5.97,0.0,492.0
Karlsruhe Institute of Technology,Germany,COMBUSTION,9,11,64.98,4,72.0,1,150.0,1,75.0,13,22.11,4,62.82,,,,,0.0,447.0
University of Modena and Reggio Emilia,Italy,COMBUSTION,10,6,69.62,22,29.17,8,94.0,7,63.75,10,31.15,11,11.58,9,85.86,6,32.87,0.0,418.0
Hochschule Karlsruhe,Germany,COMBUSTION,11,4,74.49,6,58.33,6,99.0,9,58.54,6,44.26,5,61.35,,,,,0.0,396.0
Universidad Europea de Madrid,Spain,COMBUSTION,12,2,78.52,21,37.92,14,77.0,11,54.39,11,24.79,,,11,25.0,,,0.0,298.0
TECNUN - University of Navarra,Spain,COMBUSTION,13,12,64.71,17,47.64,19,61.0,13,45.77,16,12.85,13,4.5,10,26.52,8,13.12,0.0,276.0
Liverpool John Moores University,United Kingdom,COMBUSTION,14,18,40.28,14,49.58,11,89.0,18,35.5,15,20.02,13,4.5,,,,,0.0,239.0
Ulm University of Applied Sciences,Germany,COMBUSTION,15,22,25.06,13,50.56,14,77.0,16,40.73,9,34.03,12,9.18,,,,,0.0,237.0
University of Portsmouth,United Kingdom,COMBUSTION,16,5,73.72,10,52.5,22,57.0,17,38.46,18,3.5,13,4.5,,,,,0.0,230.0
Universitatea Transilvania din Braşov,Romania,COMBUSTION,17,15,51.33,10,52.5,19,61.0,21,24.39,18,3.5,13,4.5,11,25.0,,,0.0,222.0
Universitat Politécnica de Valéncia,Spain,COMBUSTION,18,17,43.26,19,41.81,17,69.0,15,41.23,14,21.66,13,4.5,,,,,0.0,221.0
University of Seville,Spain,COMBUSTION,19,19,37.94,24,23.33,18,66.0,19,34.74,17,7.42,13,4.5,11,25.0,,,0.0,199.0
Peoples,Russia,COMBUSTION,20,16,50.57,9,54.44,23,55.0,20,29.99,18,3.5,13,4.5,,,,,0.0,198.0
AGH University of Science and Technology,Poland,COMBUSTION,21,23,19.96,18,44.72,13,80.0,14,42.86,,,13,4.5,,,,,0.0,192.0
Technische Universität Dortmund,Germany,COMBUSTION,22,21,25.52,20,38.89,16,72.0,,,,,13,4.5,11,25.0,,,0.0,166.0
Universidad de Castilla-La Mancha,Spain,COMBUSTION,23,20,27.47,14,49.58,21,59.0,22,5.21,18,3.5,13,4.5,,,,,0.0,149.0
Dr. Mahalingam College of Engineering and Technology,India,COMBUSTION,24,24,12.67,22,29.17,24,36.0,,,,,,,,,,,0.0,78.0
University of Valladolid,Spain,COMBUSTION,25,,,25,0.97,25,24.0,,,,,,,,,,,0.0,25.0
