name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Texas A&M University,United States,COMBUSTION,1,33,71.4,44,46.8,2,145.0,5,97.0,4,62.2,3,118.0,1,275.0,1,100.0,0.0,916.0
Missouri University of Science and Technology,United States,COMBUSTION,2,51,67.0,8,64.9,27,90.0,2,99.1,1,75.0,1,125.0,2,244.8,18,63.7,0.0,830.0
University of Kansas,United States,COMBUSTION,3,19,75.1,9,62.9,7,110.0,8,89.3,10,50.7,11,94.9,3,227.7,9,80.4,0.0,791.0
Iowa State University,United States,COMBUSTION,4,37,70.9,26,57.1,7,110.0,34,60.7,5,58.3,6,105.0,4,226.9,5,94.9,0.0,784.0
Virginia Polytechnic Institute and State University,United States,COMBUSTION,5,55,66.3,16,61.1,3,140.0,30,68.9,5,58.3,14,86.8,6,201.9,4,97.6,0.0,781.0
University of Illinois at Urbana-Champaign,United States,COMBUSTION,6,8,78.4,3,70.8,5,130.0,1,100.0,29,26.0,21,81.4,8,196.3,19,63.0,0.0,746.0
"California State University, Northridge",United States,COMBUSTION,7,22,74.1,5,68.4,7,110.0,31,68.7,41,8.9,5,105.2,5,211.0,3,97.9,0.0,744.0
University of California San Diego,United States,COMBUSTION,8,32,71.6,50,43.9,16,100.0,20,76.9,12,47.4,7,101.6,9,183.2,8,85.6,0.0,710.0
California State Polytechnic University - San Luis Obispo,United States,COMBUSTION,9,40,70.5,57,36.8,16,100.0,45,40.4,15,43.6,9,97.9,7,200.8,2,98.5,0.0,688.0
Wayne State University,United States,COMBUSTION,10,2,87.0,9,62.9,7,110.0,14,83.6,14,43.8,27,75.2,16,160.8,20,62.7,0.0,686.0
North Carolina State University,United States,COMBUSTION,11,10,77.3,39,48.5,16,100.0,4,98.1,8,50.9,30,70.8,14,176.0,27,46.4,0.0,668.0
Louisiana State University,United States,COMBUSTION,12,38,70.7,13,62.6,16,100.0,18,78.7,26,27.7,22,80.6,12,178.8,23,54.0,0.0,653.0
University of North Texas,United States,COMBUSTION,13,60,60.3,18,60.6,33,80.0,17,79.2,31,24.7,19,82.7,11,180.1,10,72.4,0.0,640.0
Rose-Hulman Institute of Technology,United States,COMBUSTION,14,27,73.4,24,57.6,16,100.0,33,60.9,44,3.5,12,94.3,19,132.3,6,94.0,0.0,616.0
Centro Universitário Facens,Brazil,COMBUSTION,15,42,70.2,58,36.5,53,50.0,13,84.3,18,40.2,17,85.7,15,175.9,13,69.0,0.0,612.0
"California State University, Sacramento",United States,COMBUSTION,16,11,77.1,66,32.9,16,100.0,29,69.9,36,14.9,13,87.1,13,178.5,24,50.8,0.0,611.0
Western Washington University,United States,COMBUSTION,17,56,65.7,37,50.7,41,70.0,32,63.7,25,27.8,18,85.5,10,181.4,16,64.9,0.0,610.0
Georgia Southern University,United States,COMBUSTION,18,31,72.0,42,47.1,41,70.0,12,86.3,15,43.6,23,80.3,20,125.1,15,65.3,0.0,590.0
University of California Irvine,United States,COMBUSTION,19,46,68.9,56,39.6,53,50.0,15,82.9,44,3.5,15,86.7,17,159.4,7,87.5,0.0,578.0
San José State University,United States,COMBUSTION,20,18,75.6,33,53.2,1,150.0,3,98.5,2,66.4,2,118.5,49,7.0,,,0.0,569.0
Oakland University,United States,COMBUSTION,21,57,63.6,20,59.4,41,70.0,26,71.7,33,22.0,35,63.8,18,148.3,22,58.5,0.0,557.0
University of Calgary,Canada,COMBUSTION,22,1,88.0,21,58.6,16,100.0,44,42.6,37,13.8,37,60.4,22,105.6,14,65.8,0.0,535.0
University of Texas at Austin,United States,COMBUSTION,23,35,71.1,32,53.5,49,60.0,20,76.9,23,31.1,28,74.5,23,105.1,28,41.1,0.0,513.0
University of Southern California,United States,COMBUSTION,24,16,76.0,11,62.8,27,90.0,25,72.7,35,17.9,25,78.3,21,114.1,26,46.9,-50.0,509.0
"University of California, Berkeley",United States,COMBUSTION,25,24,73.8,12,62.7,4,135.0,19,78.5,7,53.4,10,95.4,40,9.0,,,0.0,508.0
Colorado School of Mines,United States,COMBUSTION,26,45,69.1,7,65.6,33,80.0,49,31.3,26,27.7,20,81.7,27,89.9,21,60.1,-10.0,495.0
Southern Methodist University,United States,COMBUSTION,27,68,54.7,15,61.2,41,70.0,22,75.6,34,21.5,42,54.9,26,91.0,17,64.1,0.0,493.0
University of Washington,United States,COMBUSTION,28,63,58.6,4,69.8,7,110.0,9,87.1,20,36.9,4,105.7,41,8.0,,,0.0,476.0
Kettering University,United States,COMBUSTION,29,6,79.1,23,57.8,16,100.0,7,89.5,15,43.6,8,98.5,51,6.0,,,0.0,475.0
"California State Polytechnic University, Pomona",United States,COMBUSTION,30,47,68.5,25,57.3,6,120.0,27,70.5,,,,,31,71.6,11,70.4,0.0,458.0
University of Colorado Denver,United States,COMBUSTION,31,50,67.1,31,54.0,33,80.0,38,53.2,37,13.8,47,52.5,32,62.1,12,69.5,0.0,452.0
University of North Dakota,United States,COMBUSTION,32,21,74.5,30,55.0,60,40.0,36,58.5,22,33.7,43,54.2,24,97.3,31,32.6,0.0,446.0
Western University,Canada,COMBUSTION,33,39,70.6,1,75.0,7,110.0,41,47.6,8,50.9,29,74.4,41,8.0,,,0.0,436.0
Queen,Canada,COMBUSTION,34,16,76.0,28,55.9,7,110.0,48,32.4,23,31.1,48,50.2,28,77.7,,,0.0,433.0
Western Michigan University,United States,COMBUSTION,35,49,67.4,17,60.7,41,70.0,9,87.1,30,25.0,26,76.5,25,95.9,,,-50.0,433.0
University of New Mexico,United States,COMBUSTION,36,43,70.1,38,49.3,7,110.0,23,73.7,13,47.0,36,60.9,41,8.0,,,0.0,419.0
University of Missouri,United States,COMBUSTION,37,25,73.7,28,55.9,16,100.0,11,87.0,11,50.1,49,47.4,55,3.0,,,0.0,417.0
Auburn University,United States,COMBUSTION,38,48,68.1,6,67.6,7,110.0,6,96.2,3,62.8,,,52,5.0,,,0.0,410.0
Concordia University,Canada,COMBUSTION,39,58,62.4,27,56.4,16,100.0,39,53.1,44,3.5,39,58.1,36,15.0,32,31.5,0.0,380.0
Arizona State University,United States,COMBUSTION,40,30,72.4,40,48.2,53,50.0,46,39.7,44,3.5,33,64.4,30,77.0,33,20.3,0.0,376.0
University of Nebraska–Lincoln,United States,COMBUSTION,41,34,71.2,22,57.9,27,90.0,16,79.6,19,37.0,16,86.6,60,1.0,,,-50.0,373.0
