name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
ETH Zürich,Switzerland,ELECTRIC,1,4,79.11,1,75.0,1,150.0,1,75.0,1,75.0,1,100.0,2,323.86,11,81.32,0.0,959.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,2,3,81.57,7,61.37,2,138.0,3,69.12,5,49.02,3,78.17,3,315.11,12,78.06,0.0,870.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,3,6,73.45,2,74.0,5,128.0,11,37.01,8,43.28,5,60.86,1,325.0,14,72.96,0.0,815.0
Technische Universität Bergakademie Freiberg,Germany,ELECTRIC,4,7,70.24,5,71.0,4,135.0,13,24.7,3,59.68,7,39.34,5,232.4,6,88.59,0.0,721.0
Duale Hochschule Baden-Württemberg Stuttgart,Germany,ELECTRIC,5,21,38.28,12,53.7,11,108.0,7,47.72,6,45.5,6,44.64,4,275.75,8,84.95,0.0,699.0
Fachhochschule München,Germany,ELECTRIC,6,2,81.83,7,61.37,6,125.0,4,52.24,2,61.04,4,66.48,7,161.98,10,81.49,0.0,691.0
Hochschule Esslingen,Germany,ELECTRIC,7,5,76.06,12,53.7,3,137.0,5,52.03,,,,,6,188.43,9,84.1,0.0,591.0
Universität Stuttgart,Germany,ELECTRIC,8,1,87.25,9,58.49,9,118.0,2,72.71,4,52.39,2,82.55,,,13,73.17,0.0,545.0
Fachhochschule Osnabrück,Germany,ELECTRIC,9,12,59.86,6,62.33,15,100.0,10,40.7,9,35.28,10,26.45,10,117.94,4,94.58,0.0,537.0
Fachhochschule Kiel,Germany,ELECTRIC,10,15,57.54,15,52.74,17,73.0,6,49.7,7,43.87,9,29.69,9,133.39,3,94.88,0.0,535.0
Universität Siegen,Germany,ELECTRIC,11,9,66.76,17,49.86,16,95.0,8,47.38,12,32.67,11,19.09,11,110.17,2,94.89,0.0,516.0
Deggendorf Institute of Technology,Germany,ELECTRIC,12,19,46.99,11,55.62,10,111.0,14,23.65,10,34.48,14,4.5,8,148.61,15,67.81,0.0,493.0
University of the Basque Country,Spain,ELECTRIC,13,14,59.32,4,72.0,20,58.0,15,21.56,14,27.99,13,11.24,12,82.59,1,100.0,0.0,433.0
Technische Universiteit Eindhoven,Netherlands,ELECTRIC,14,18,48.72,12,53.7,8,122.0,9,43.79,16,23.51,8,35.62,,,7,85.05,0.0,412.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,15,13,59.33,10,57.53,11,108.0,16,21.3,11,33.91,12,16.76,,,5,94.25,0.0,391.0
Escola Tècnica Superior d,Spain,ELECTRIC,16,10,64.98,3,73.0,14,105.0,,,17,22.03,14,4.5,,,,,0.0,270.0
Hochschule RheinMain,Germany,ELECTRIC,17,16,55.33,20,40.27,18,69.0,12,34.06,13,30.73,14,4.5,,,,,0.0,234.0
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Germany,ELECTRIC,18,8,68.88,16,50.82,13,107.0,,,,,14,4.5,,,,,0.0,231.0
Leibniz Universität Hannover,Germany,ELECTRIC,19,11,62.71,21,38.36,6,125.0,,,,,,,,,,,0.0,226.0
Thomas More Mechelen - De Nayer,Belgium,ELECTRIC,20,17,51.55,22,34.52,19,61.0,17,6.21,15,27.35,14,4.5,,,,,0.0,185.0
"Università degli Studi di Roma ""La Sapienza""",Italy,ELECTRIC,21,20,44.19,18,47.95,21,52.0,,,,,,,,,,,0.0,144.0
Escola d,Spain,ELECTRIC,22,22,18.9,18,47.95,22,18.0,,,,,,,,,,,0.0,85.0
University of Alcalá,Spain,ELECTRIC,23,23,5.0,23,1.92,,,,,,,,,,,,,0.0,7.0
