name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
University of Toronto,Canada,COMBUSTION,1,5,83.0,21,51.1,3,147.0,1,75.0,2,47.33,2,126.43,1,350.0,6,4.67,0.0,885.0
Rensselaer Polytechnic Institute,United States,COMBUSTION,2,14,70.0,19,54.4,8,135.0,10,45.7,12,16.54,6,94.91,2,193.54,4,7.47,0.0,618.0
Helsinki Metropolia University of Applied Sciences,Finland,COMBUSTION,3,12,71.0,14,57.69,19,91.0,7,52.49,8,31.77,8,78.75,3,136.27,,,0.0,519.0
Fachhochschule Stralsund,Germany,COMBUSTION,4,2,88.0,1,75.0,4,145.0,4,58.65,3,44.5,5,101.44,,,,,0.0,513.0
Oxford Brookes University,United Kingdom,COMBUSTION,5,1,90.0,10,59.34,10,129.0,8,51.0,4,42.36,3,105.15,,,,,0.0,477.0
University of Bath,United Kingdom,COMBUSTION,6,15,68.0,10,59.34,5,144.0,10,45.7,1,50.0,7,83.86,,,,,0.0,451.0
Chalmers University of Technology,Sweden,COMBUSTION,7,7,80.0,10,59.34,2,148.0,2,64.04,11,24.0,9,65.45,,,,,0.0,441.0
University of Birmingham,United Kingdom,COMBUSTION,8,9,78.0,6,67.58,6,143.0,6,52.99,6,34.96,10,62.33,,,,,0.0,439.0
University of Leeds,United Kingdom,COMBUSTION,9,11,77.0,21,51.1,25,66.0,5,57.6,7,31.97,1,150.0,,,,,0.0,434.0
Luleå University of Technology,Sweden,COMBUSTION,10,18,62.0,26,41.21,14,113.0,3,63.49,16,10.21,4,103.39,,,,,0.0,393.0
University College Dublin,Ireland,COMBUSTION,11,7,80.0,8,64.29,19,91.0,21,17.06,10,25.84,17,7.5,5,50.0,1,50.0,0.0,386.0
Lancaster  University,United Kingdom,COMBUSTION,14,15,68.0,4,70.05,7,138.0,14,34.54,13,16.42,15,19.26,,,,,0.0,346.0
Università degli Studi di Firenze,Italy,COMBUSTION,15,20,58.0,17,56.04,11,126.0,16,30.8,9,28.06,12,42.36,,,,,0.0,341.0
Universidade Independente,Portugal,COMBUSTION,16,29,40.0,32,29.67,16,93.0,9,46.17,14,11.57,17,7.5,4,87.58,2,20.17,0.0,336.0
University Of Hertfordshire,United Kingdom,COMBUSTION,17,17,64.0,6,67.58,17,92.0,12,42.46,,,17,7.5,5,50.0,5,5.64,0.0,329.0
Aston University,United Kingdom,COMBUSTION,18,5,83.0,24,42.86,17,92.0,17,24.84,,,17,7.5,5,50.0,3,18.94,0.0,319.0
Brunel University London,United Kingdom,COMBUSTION,19,22,57.0,5,68.41,9,132.0,13,37.55,,,14,20.9,,,,,0.0,316.0
University of Maribor,Slovenia,COMBUSTION,20,19,60.0,3,70.88,13,116.0,15,32.45,17,10.17,13,21.81,,,,,0.0,311.0
TU Delft,Netherlands,COMBUSTION,21,9,78.0,1,75.0,1,150.0,,,,,,,,,,,0.0,303.0
Imperial College London,United Kingdom,COMBUSTION,22,30,39.0,17,56.04,31,53.0,20,21.06,5,38.43,11,49.86,,,,,0.0,257.0
University of Strathclyde,United Kingdom,COMBUSTION,23,3,86.0,19,54.4,22,84.0,,,18,2.5,17,7.5,,,,,0.0,234.0
University of Wales Trinity Saint David,United Kingdom,COMBUSTION,24,28,41.0,13,58.52,15,99.0,18,23.69,18,2.5,17,7.5,,,,,0.0,232.0
Università degli Studi di Ferrara,Italy,COMBUSTION,26,4,84.0,14,57.69,26,65.0,,,,,17,7.5,,,,,0.0,214.0
University of Warwick,United Kingdom,COMBUSTION,27,24,54.0,31,31.32,12,121.0,,,,,,,,,,,0.0,206.0
University of Huddersfield,United Kingdom,COMBUSTION,28,20,58.0,9,63.46,24,68.0,,,,,,,,,,,0.0,189.0
University of Southampton,United Kingdom,COMBUSTION,29,31,38.0,23,44.51,28,62.0,19,22.56,15,11.37,17,7.5,,,,,0.0,186.0
Coventry University,United Kingdom,COMBUSTION,30,12,71.0,34,20.6,21,90.0,,,,,,,,,,,0.0,182.0
Loughborough University,United Kingdom,COMBUSTION,31,23,55.0,27,37.91,27,63.0,22,7.27,18,2.5,16,12.63,,,,,0.0,178.0
City University London,United Kingdom,COMBUSTION,32,33,17.0,14,57.69,23,76.0,,,,,,,,,,,0.0,151.0
University of Ulster,United Kingdom,COMBUSTION,33,27,49.0,27,37.91,29,60.0,,,,,,,,,,,0.0,147.0
University of Delhi,India,COMBUSTION,34,26,50.0,27,37.91,33,43.0,,,,,,,,,,,0.0,131.0
University of the West of Scotland,United Kingdom,COMBUSTION,35,32,33.0,33,26.37,32,51.0,,,,,17,7.5,,,,,0.0,118.0
Sheffield Hallam University,United Kingdom,COMBUSTION,36,24,54.0,24,42.86,34,21.0,,,,,,,,,,,0.0,118.0
IMT Nord Europe - Douai,France,COMBUSTION,37,34,15.0,27,37.91,30,58.0,,,,,,,,,,,0.0,111.0
