name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Universität Stuttgart,Germany,COMBUSTION,1,12,89.0,2,74.0,1,150.0,3,68.3,4,67.7,5,76.2,1,325.0,2,87.4,0.0,938.0
Hochschule Esslingen,Germany,COMBUSTION,2,5,93.0,19,43.6,9,113.7,2,69.6,2,70.7,4,78.7,2,285.9,3,74.9,-13.0,817.0
Fachhochschule Coburg,Germany,COMBUSTION,3,2,96.5,13,54.9,12,104.1,5,57.8,1,75.0,3,80.1,3,279.8,4,67.3,-35.0,781.0
Universität Paderborn,Germany,COMBUSTION,4,13,88.0,5,67.1,11,106.3,16,33.9,15,53.7,12,12.3,4,198.3,6,57.0,0.0,616.0
The University of Akron,United States,COMBUSTION,5,29,63.0,14,53.1,18,92.3,18,30.5,7,66.6,14,4.5,5,155.5,1,100.0,0.0,566.0
Universität Kassel,Germany,COMBUSTION,6,18,85.0,8,61.9,14,100.8,12,40.4,5,67.6,10,30.5,8,119.7,7,6.6,-5.0,508.0
Politecnico di Milano,Italy,COMBUSTION,7,14,87.0,16,46.8,5,122.3,7,48.6,6,66.8,13,10.8,6,128.6,,,-10.0,501.0
Technion - Israel Institute of Technology,Israel,COMBUSTION,8,5,93.0,17,44.2,15,100.5,22,19.5,24,32.3,14,4.5,7,120.3,5,66.7,0.0,481.0
Technical University of Munich,Germany,COMBUSTION,9,1,97.0,7,62.7,3,130.0,13,37.8,8,64.9,1,100.0,,,,,-25.0,467.0
Technische Universität Graz,Austria,COMBUSTION,10,26,76.0,15,52.1,4,126.6,1,75.0,3,69.2,2,86.1,,,,,-28.0,457.0
Hochschule Karlsruhe,Germany,COMBUSTION,11,5,93.0,4,69.0,16,98.4,6,56.8,17,49.0,7,63.8,,,,,0.0,430.0
Fachhochschule Konstanz,Germany,COMBUSTION,12,21,83.0,18,44.0,22,85.5,11,41.4,20,44.9,9,52.4,9,62.7,8,4.3,0.0,418.0
Ostbayerische Technische Hochschule Regensburg,Germany,COMBUSTION,13,9,90.0,26,33.5,10,112.1,10,42.6,10,63.0,8,62.4,,,,,0.0,404.0
GFR DHBW Ravensburg & Oregon State University,Bermuda,COMBUSTION,14,3,96.0,9,60.1,20,86.2,4,67.8,9,63.2,,,,,,,0.0,373.0
Fachhochschule Joanneum Graz,Austria,COMBUSTION,15,5,93.0,28,29.2,2,140.0,8,47.0,12,58.6,11,23.0,,,,,-22.0,369.0
Karlsruhe Institute of Technology,Germany,COMBUSTION,16,4,95.0,1,75.0,8,116.9,19,26.2,22,35.9,14,4.5,,,,,0.0,354.0
University of Applied Sciences Ravensburg-Weingarten,Germany,COMBUSTION,17,23,81.0,6,64.5,6,119.0,,,,,6,63.9,,,,,0.0,328.0
National Technical University of Athens,Greece,COMBUSTION,18,15,86.0,12,56.6,19,87.5,,,14,57.5,14,4.5,11,25.0,,,0.0,317.0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,COMBUSTION,19,18,85.0,21,39.2,7,118.8,21,22.4,18,48.7,,,,,,,0.0,314.0
Hochschule für Technik und Wirtschaft Berlin,Germany,COMBUSTION,20,9,90.0,3,71.0,17,98.1,9,45.1,23,34.5,14,4.5,,,,,-30.0,313.0
University of Seville,Spain,COMBUSTION,21,27,69.0,10,57.7,21,86.1,20,25.3,28,16.1,,,10,47.0,,,0.0,301.0
Technische Hochschule Ostwestfalen-Lippe,Germany,COMBUSTION,22,18,85.0,29,24.6,25,76.0,14,36.3,11,59.1,14,4.5,,,,,-5.0,280.0
Ulm University of Applied Sciences,Germany,COMBUSTION,23,22,82.0,25,35.0,26,72.9,15,35.6,19,47.6,14,4.5,,,,,0.0,278.0
Fachhochschule Stralsund,Germany,COMBUSTION,24,15,86.0,10,57.7,23,84.4,25,3.5,21,39.0,14,4.5,,,,,0.0,275.0
Hochschule Heilbronn,Germany,COMBUSTION,25,9,90.0,22,37.9,27,68.1,24,17.1,16,49.3,14,4.5,11,25.0,,,-40.0,252.0
UAS Kempten,Germany,COMBUSTION,26,28,68.0,24,35.3,28,62.8,23,18.2,13,58.1,14,4.5,,,,,-10.0,237.0
Hochschule Pforzheim,Germany,COMBUSTION,27,25,78.0,30,23.3,24,79.8,17,31.6,26,19.1,14,4.5,,,,,0.0,236.0
Hochschule für Angewandte Wissenschaften Hamburg,Germany,COMBUSTION,28,24,79.0,27,31.4,13,103.7,,,,,14,4.5,,,,,0.0,219.0
Technische Universität Dortmund,Germany,COMBUSTION,29,31,56.0,31,20.5,31,41.3,25,3.5,27,18.1,14,4.5,,,,,0.0,144.0
FH Campus Wien,Austria,COMBUSTION,30,15,86.0,20,39.4,29,52.8,,,25,21.5,14,4.5,,,,,-75.0,129.0
Universidad Nacional Autónoma de México,Mexico,COMBUSTION,31,30,62.0,23,36.2,30,49.0,,,,,,,,,,,-20.0,127.0
