name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
University of Toronto,Canada,COMBUSTION,1,12,77.35,21,56.45,6,136.0,13,60.07,3,42.85,1,150.0,1,350.0,10,11.34,0.0,884.0
Helsinki Metropolia University of Applied Sciences,Finland,COMBUSTION,2,36,60.53,6,70.16,9,129.0,2,72.18,6,40.19,13,110.38,6,287.42,8,12.87,0.0,783.0
KTH Royal Institute of Technology,Sweden,COMBUSTION,3,22,71.99,24,55.65,29,80.0,6,65.69,2,46.05,5,125.32,3,325.05,15,6.55,0.0,776.0
Technische Universität Graz,Austria,COMBUSTION,4,18,75.15,37,45.16,3,143.0,3,70.52,4,41.07,4,130.68,7,242.37,3,27.69,0.0,776.0
Drexel University,United States,COMBUSTION,5,19,73.62,10,62.9,37,69.0,9,63.62,11,35.47,18,101.85,2,345.84,6,15.69,0.0,768.0
Fachhochschule Stralsund,Germany,COMBUSTION,6,27,68.53,5,70.97,11,121.0,4,66.75,23,28.04,19,101.2,4,305.35,16,5.19,0.0,767.0
University Of Hertfordshire,United Kingdom,COMBUSTION,7,16,76.07,21,56.45,8,132.0,4,66.75,5,40.56,22,79.53,5,292.15,5,20.32,0.0,764.0
"Cardiff University, Wales",United Kingdom,COMBUSTION,8,23,71.49,2,72.58,13,118.0,23,53.32,26,27.34,21,96.92,8,182.51,17,1.24,0.0,623.0
Dartmouth College,United States,COMBUSTION,9,9,79.64,11,61.29,18,111.0,19,55.68,13,34.48,24,70.39,10,164.36,11,9.62,0.0,586.0
Fachhochschule Joanneum Graz,Austria,COMBUSTION,10,34,62.48,41,41.13,15,114.0,25,49.2,27,27.19,25,66.5,9,165.02,13,7.62,0.0,533.0
University of Victoria,Canada,COMBUSTION,11,33,62.92,42,40.32,13,118.0,27,43.54,42,2.68,7,120.26,11,127.74,,,0.0,515.0
University of Waterloo,Canada,COMBUSTION,12,10,78.17,8,64.52,5,138.0,13,60.07,14,33.46,3,131.38,,,,,0.0,506.0
École Polytechnique de Montréal,Canada,COMBUSTION,13,31,65.57,1,75.0,15,114.0,16,58.59,9,37.97,2,142.63,,,,,0.0,494.0
Technical University of Munich,Germany,COMBUSTION,14,12,77.35,11,61.29,10,123.0,8,65.17,1,50.0,8,115.51,,,,,0.0,492.0
Oxford Brookes University,United Kingdom,COMBUSTION,15,2,91.7,7,66.94,7,135.0,11,62.08,22,29.02,14,106.85,,,,,0.0,492.0
Ryerson University,Canada,COMBUSTION,16,26,69.22,11,61.29,19,104.0,13,60.07,8,38.64,6,125.08,,,,,0.0,458.0
Imperial College London,United Kingdom,COMBUSTION,17,41,53.96,37,45.16,49,19.0,18,55.73,28,26.27,9,113.49,12,123.13,14,6.79,0.0,444.0
