name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
ETH Zürich,Switzerland,ELECTRIC,1,4,82.3,3,73.0,1,150.0,1,75.0,1,75.0,1,100.0,1,325.0,6,66.1,0.0,946.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,2,9,66.6,1,75.0,6,128.9,3,63.8,6,57.1,2,99.1,3,315.7,7,60.1,0.0,866.0
Universität Stuttgart,Germany,ELECTRIC,3,3,85.2,5,69.2,5,129.3,3,63.8,2,69.9,8,67.9,2,320.8,12,45.8,0.0,852.0
Technical University of Munich,Germany,ELECTRIC,4,2,87.3,6,67.4,2,140.0,5,51.8,3,68.2,5,81.0,4,301.8,13,34.1,0.0,832.0
GFR DHBW Ravensburg & Oregon State University,Bermuda,ELECTRIC,5,8,69.6,11,56.0,8,107.0,8,43.2,10,45.0,3,90.0,6,205.4,3,78.8,0.0,695.0
Norwegian University of Science and Technology,Norway,ELECTRIC,6,12,55.9,9,62.1,7,128.3,10,39.2,5,57.5,9,62.2,5,238.8,11,47.0,0.0,691.0
Hochschule Bonn-Rhein-Sieg,Germany,ELECTRIC,7,11,61.4,4,70.0,9,100.7,11,38.5,9,47.2,6,80.0,7,173.7,5,69.8,0.0,641.0
Fachhochschule München,Germany,ELECTRIC,8,1,98.5,2,74.0,3,130.0,2,65.7,8,49.7,4,88.6,14,16.0,10,55.0,0.0,578.0
Technische Universität Hamburg,Germany,ELECTRIC,9,16,30.4,16,36.7,11,97.7,7,44.5,11,40.3,7,72.5,10,128.9,1,100.0,0.0,551.0
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,ELECTRIC,10,6,77.3,8,62.8,4,129.7,6,45.4,,,11,44.3,13,18.0,2,99.8,0.0,477.0
Technische Universität Wien,Austria,ELECTRIC,11,,,13,43.9,13,91.2,12,16.1,4,62.2,,,9,146.0,4,76.3,0.0,436.0
Technische Hochschule Ingolstadt,Germany,ELECTRIC,12,10,62.0,18,30.0,16,77.8,13,3.5,12,25.4,14,4.5,8,150.8,9,57.6,0.0,412.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,13,7,75.9,7,66.2,10,98.7,9,41.6,7,53.1,10,49.8,16,1.0,,,0.0,386.0
Georg-Simon-Ohm-Hochschule Nürnberg,Germany,ELECTRIC,14,17,29.3,13,43.9,18,68.0,,,,,14,4.5,11,93.6,8,58.4,0.0,298.0
Deggendorf Institute of Technology,Germany,ELECTRIC,15,13,53.2,10,57.5,14,82.6,,,,,13,30.7,12,20.0,,,0.0,244.0
Technische Universität Bergakademie Freiberg,Germany,ELECTRIC,16,5,80.8,12,45.8,11,97.7,,,,,,,,,,,0.0,224.0
Hochschule Aalen - Technik und Wirtschaft,Germany,ELECTRIC,17,14,44.8,15,42.9,15,81.9,,,,,12,40.0,15,8.0,,,0.0,218.0
Universität Bayreuth,Germany,ELECTRIC,18,15,38.6,17,33.3,17,77.6,,,,,,,,,,,0.0,150.0
