name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
GFR DHBW Ravensburg & Oregon State University,Bermuda,COMBUSTION,1,3,73.2,2,73.4,21,90.0,12,50.6,6,58.6,2,98.5,1,325.0,8,73.8,0.0,843.0
ETH Zürich,Switzerland,ELECTRIC,2,5,70.4,21,42.2,1,150.0,1,75.0,7,57.9,1,100.0,4,239.2,2,92.3,0.0,827.0
Technical University of Munich,Germany,COMBUSTION,3,13,63.8,4,71.1,3,135.0,2,63.6,4,64.5,3,98.1,3,265.0,13,56.3,-10.0,808.0
University of Bath,United Kingdom,COMBUSTION,4,5,70.4,3,72.7,5,125.0,19,35.9,17,42.8,4,88.7,2,285.6,14,49.5,0.0,771.0
The University of Akron,United States,COMBUSTION,5,2,78.8,7,64.8,8,120.0,13,50.4,11,52.8,9,59.9,5,232.7,15,45.3,0.0,705.0
Hochschule Esslingen,Germany,COMBUSTION,6,7,68.3,12,59.4,8,120.0,5,58.6,12,52.2,7,73.4,6,229.5,19,37.2,0.0,698.0
Universität Stuttgart,Germany,ELECTRIC,7,15,62.4,21,42.2,16,100.0,8,56.8,1,75.0,10,59.7,9,198.5,3,90.1,0.0,685.0
Karlsruhe Institute of Technology,Germany,COMBUSTION,8,4,72.2,28,35.2,8,120.0,9,55.6,8,57.8,11,57.9,10,187.7,18,37.7,0.0,624.0
Fachhochschule Coburg,Germany,COMBUSTION,9,22,50.0,32,26.6,11,110.0,3,61.0,20,36.6,5,78.0,8,207.5,16,44.3,0.0,614.0
University of Maribor,Slovenia,COMBUSTION,10,27,47.7,35,23.4,24,80.0,6,58.5,9,57.6,6,77.9,7,207.8,17,42.0,0.0,595.0
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,COMBUSTION,11,25,48.2,30,33.6,5,125.0,10,52.4,5,63.4,16,52.3,13,151.5,10,64.9,0.0,591.0
Universität Paderborn,Germany,COMBUSTION,12,24,49.3,24,40.6,11,110.0,16,44.2,14,49.2,12,57.6,11,180.4,20,25.8,0.0,557.0
Technische Universität Graz,Austria,COMBUSTION,13,12,65.1,18,48.4,11,110.0,15,45.6,3,67.6,20,44.0,18,115.3,12,56.8,0.0,553.0
