name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Universität Stuttgart,Germany,COMBUSTION,1,34,57.6,53,45.0,7,135.0,12,51.5,4,44.9,2,146.4,1,300.0,11,70.8,0.0,851.0
Karlsruhe Institute of Technology,Germany,COMBUSTION,2,25,60.1,15,61.8,7,135.0,14,49.5,9,37.4,8,115.8,5,215.8,12,69.3,0.0,745.0
Technische Universität Graz,Austria,COMBUSTION,3,17,66.2,80,34.6,23,110.0,23,39.4,6,41.5,11,107.1,3,234.5,10,75.8,0.0,709.0
University of Bath,United Kingdom,COMBUSTION,4,9,71.8,6,70.0,5,139.0,18,44.9,22,28.7,22,90.0,6,203.9,15,59.6,0.0,708.0
Wroclaw University of Technology,Poland,COMBUSTION,5,48,50.1,54,44.6,7,135.0,9,56.5,14,34.1,18,98.6,4,221.3,22,49.6,0.0,690.0
Chalmers University of Technology,Sweden,ELECTRIC,6,19,63.1,27,55.5,23,110.0,26,38.3,,,9,115.0,7,203.0,5,93.3,0.0,678.0
Czech Technical University in Prague,Czech Republic,COMBUSTION,7,95,15.6,24,57.7,15,125.0,17,45.6,11,37.1,14,101.3,2,245.1,20,50.4,0.0,678.0
Budapest University of Technology and Economics,Hungary,ELECTRIC,8,37,55.6,49,47.3,7,135.0,,,22,28.7,16,100.2,14,164.9,2,99.9,0.0,632.0
University Of Hertfordshire,United Kingdom,COMBUSTION,9,11,70.7,12,63.4,23,110.0,43,22.7,19,31.1,24,81.1,12,184.8,14,64.4,0.0,628.0
Edith Cowan University,Australia,COMBUSTION,10,1,90.6,43,49.9,15,125.0,,,,,17,98.8,9,202.4,16,54.5,0.0,621.0
Escola Superior d,Spain,ELECTRIC,11,3,75.8,23,59.7,23,110.0,24,38.7,34,18.3,36,58.1,18,132.0,1,100.0,0.0,593.0
Universität Paderborn,Germany,COMBUSTION,12,10,71.0,29,54.9,7,135.0,52,3.5,37,14.5,25,78.7,13,184.7,23,42.6,0.0,585.0
University of Modena and Reggio Emilia,Italy,COMBUSTION,13,78,33.7,73,36.6,23,110.0,19,44.2,32,20.3,13,101.7,10,190.4,25,37.9,0.0,575.0
Technische Universität Hamburg,Germany,ELECTRIC,14,42,53.0,51,45.3,36,100.0,8,58.8,16,32.7,,,11,186.6,3,93.9,0.0,570.0
University of Liverpool,United Kingdom,COMBUSTION,15,18,63.6,9,66.8,23,110.0,34,28.9,40,12.2,38,54.7,17,144.6,18,52.3,0.0,533.0
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,ELECTRIC,16,7,74.7,77,35.7,15,125.0,13,50.7,17,32.4,15,101.1,35,19.0,6,92.9,0.0,532.0
TU Delft,Netherlands,ELECTRIC,17,47,50.5,5,71.0,2,148.0,3,70.3,8,38.5,1,150.0,,,,,0.0,528.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,18,26,60.0,19,60.8,3,145.0,1,73.0,2,47.9,5,130.7,64,4.0,,,0.0,521.0
Technical University of Munich,Germany,ELECTRIC,19,70,37.3,22,60.6,15,125.0,,,,,,,8,202.7,4,93.8,0.0,519.0
ETH Zürich,Switzerland,ELECTRIC,20,37,55.6,3,73.0,1,150.0,2,72.0,1,50.0,10,114.5,,,,,0.0,515.0
Technische Hochschule Mittelhessen,Germany,COMBUSTION,21,86,24.7,90,32.1,36,100.0,15,48.0,25,25.1,23,87.5,16,157.6,21,50.0,-20.0,505.0
University of West Bohemia,Czech Republic,COMBUSTION,22,75,34.4,41,50.7,23,110.0,11,51.6,42,10.2,31,63.7,21,118.3,19,51.9,0.0,491.0
Norwegian University of Science and Technology,Norway,ELECTRIC,23,24,60.6,18,60.9,4,142.0,6,64.9,5,44.6,7,116.4,,,,,0.0,489.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,ELECTRIC,24,14,67.5,68,39.1,7,135.0,4,68.4,13,35.3,4,142.0,,,,,0.0,487.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,25,8,73.9,14,61.9,23,110.0,41,23.5,26,24.1,26,78.5,34,20.0,8,88.4,0.0,480.0
Technische Universität Darmstadt,Germany,ELECTRIC,26,67,39.0,19,60.8,15,125.0,5,67.2,7,41.1,12,104.3,53,8.0,,,0.0,445.0
Monash University,Australia,COMBUSTION,27,2,79.7,10,66.6,6,137.0,44,20.0,9,37.4,21,96.1,60,5.0,,,0.0,442.0
Hochschule Esslingen,Germany,ELECTRIC,28,76,34.2,61,41.6,36,100.0,,,,,45,42.0,15,160.6,7,92.2,-30.0,441.0
Technical University of Munich,Germany,COMBUSTION,29,65,39.3,25,56.7,7,135.0,33,29.5,18,31.6,3,146.0,,,,,0.0,438.0
Oxford Brookes University,United Kingdom,COMBUSTION,30,15,67.3,51,45.3,15,125.0,20,43.8,12,37.0,20,96.2,36,18.0,,,0.0,432.0
École Centrale de Lyon,France,COMBUSTION,31,22,61.1,61,41.6,36,100.0,40,23.7,33,19.2,41,50.4,19,129.7,,,0.0,426.0
Universität Stuttgart,Germany,ELECTRIC,32,59,43.1,76,35.8,23,110.0,7,60.7,3,45.5,6,116.8,,,,,0.0,412.0
Białystok University of Technology,Poland,COMBUSTION,33,43,52.5,42,50.3,23,110.0,10,52.4,20,31.0,19,98.3,41,11.0,,,0.0,406.0
Yıldız Technical University,Turkey,COMBUSTION,34,63,41.6,73,36.6,96,30.0,25,38.4,35,17.9,29,68.4,19,129.7,24,40.2,0.0,403.0
Loughborough University,United Kingdom,COMBUSTION,35,29,59.4,37,51.1,23,110.0,48,15.5,47,2.5,44,44.1,24,59.3,27,32.5,0.0,374.0
Tallinn TU UAS,Estonia,ELECTRIC,36,35,57.2,66,39.4,23,110.0,,,,,32,63.4,33,21.0,9,88.2,-10.0,369.0
University of Burgundy - ISAT,France,COMBUSTION,37,62,41.9,86,32.6,50,80.0,16,47.3,31,20.8,27,73.8,37,16.0,17,53.2,0.0,366.0
"Cardiff University, Wales",United Kingdom,COMBUSTION,38,12,68.0,11,65.4,36,100.0,39,25.3,27,23.9,33,62.6,51,9.0,,,0.0,354.0
Liverpool John Moores University,United Kingdom,COMBUSTION,39,41,53.2,19,60.8,36,100.0,27,37.7,28,23.2,30,65.0,55,6.0,,,0.0,346.0
Manchester Metropolitan University,United Kingdom,COMBUSTION,40,16,66.7,63,41.5,89,40.0,29,37.4,45,5.2,53,16.5,23,64.7,13,64.7,0.0,336.0
Karlstad University,Sweden,COMBUSTION,41,20,62.4,17,61.0,36,100.0,37,27.5,30,21.3,39,52.8,41,11.0,,,0.0,336.0
Technische Universiteit Eindhoven,Netherlands,ELECTRIC,42,22,61.1,31,54.4,7,135.0,21,41.6,15,33.0,,,41,11.0,,,0.0,336.0
University of Sussex,United Kingdom,COMBUSTION,43,21,62.0,1,75.0,50,80.0,50,14.2,43,10.1,55,8.2,25,58.1,28,23.8,0.0,331.0
Aalborg University,Denmark,COMBUSTION,44,64,40.6,46,48.9,50,80.0,22,41.0,36,16.6,34,61.6,41,11.0,,,-10.0,290.0
University of Aberdeen,United Kingdom,COMBUSTION,45,33,57.9,4,72.0,36,100.0,30,34.2,47,2.5,52,16.6,55,6.0,,,0.0,289.0
University of Birmingham,United Kingdom,COMBUSTION,46,56,44.0,35,52.8,36,100.0,52,3.5,24,28.0,43,46.4,41,11.0,,,0.0,286.0
Linköping University,Sweden,COMBUSTION,47,81,30.1,64,40.8,50,80.0,38,27.3,39,14.2,35,58.6,67,3.0,,,0.0,254.0
Swansea University,United Kingdom,COMBUSTION,48,13,67.7,71,38.2,50,80.0,,,,,28,72.7,64,4.0,,,-10.0,252.0
University of Wolverhampton,United Kingdom,COMBUSTION,49,99,9.2,101,16.5,96,30.0,32,30.7,47,2.5,42,47.5,22,75.7,26,36.5,0.0,249.0
Brunel University London,United Kingdom,COMBUSTION,50,85,25.6,50,46.0,72,55.0,31,31.3,21,30.6,40,50.6,55,6.0,,,0.0,245.0
Universidade de Lisboa - Instituto Superior Técnico,Portugal,ELECTRIC,51,53,45.4,7,68.4,36,100.0,,,,,37,57.7,26,22.0,,,-50.0,244.0
De Montfort University,United Kingdom,COMBUSTION,52,68,37.9,39,51.0,50,80.0,27,37.7,,,56,7.5,26,22.0,,,0.0,236.0
Delhi Technological University,India,COMBUSTION,53,60,43.0,28,55.3,50,80.0,46,18.5,47,2.5,51,24.0,41,11.0,,,0.0,234.0
Heriot-Watt University,United Kingdom,COMBUSTION,54,32,58.4,88,32.4,72,55.0,34,28.9,47,2.5,49,31.2,26,22.0,,,0.0,230.0
University of Manchester,United Kingdom,COMBUSTION,55,28,59.6,98,27.6,50,80.0,42,23.2,44,7.2,56,7.5,39,14.0,,,0.0,219.0
Universidad Europea de Madrid,Spain,COMBUSTION,56,30,59.3,58,42.8,15,125.0,,,,,,,,,,,-10.0,217.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,57,61,42.5,44,49.5,15,125.0,,,,,,,,,,,0.0,217.0
University of the Basque Country,Spain,ELECTRIC,58,52,47.9,7,68.4,36,100.0,,,,,,,,,,,0.0,216.0
University of Sheffield,United Kingdom,COMBUSTION,59,57,43.3,26,56.1,50,80.0,,,,,47,35.7,,,,,0.0,215.0
University of Southampton,United Kingdom,COMBUSTION,60,50,48.5,16,61.2,36,100.0,,,,,,,,,,,0.0,210.0
Lancaster  University,United Kingdom,COMBUSTION,61,44,51.7,95,29.9,36,100.0,52,3.5,,,56,7.5,41,11.0,,,0.0,204.0
University of the West of England,United Kingdom,COMBUSTION,62,55,44.2,83,34.3,82,50.0,51,3.9,38,14.4,48,34.3,26,22.0,,,0.0,203.0
Ain Shams University,Egypt,COMBUSTION,63,6,75.0,2,74.0,82,50.0,,,,,,,,,,,0.0,199.0
University of Iceland,Iceland,ELECTRIC,64,26,60.0,13,62.3,50,80.0,,,,,,,,,,,-10.0,192.0
University of Portsmouth,United Kingdom,COMBUSTION,65,83,29.4,32,54.3,72,55.0,,,,,50,29.5,26,22.0,,,0.0,190.0
Ecole Nationale d,France,COMBUSTION,66,84,28.3,96,29.2,23,110.0,,,,,56,7.5,41,11.0,,,0.0,186.0
Indian Institute of Technology Bombay,India,ELECTRIC,67,45,51.6,88,32.4,50,80.0,,,,,56,7.5,41,11.0,,,0.0,182.0
Birmingham City University,United Kingdom,COMBUSTION,68,74,34.7,45,49.1,72,55.0,49,14.7,29,21.8,54,14.2,41,11.0,,,-20.0,180.0
University of Strathclyde,United Kingdom,COMBUSTION,69,5,75.2,33,53.6,82,50.0,,,,,,,,,,,0.0,179.0
University of Stavanger,Norway,ELECTRIC,70,53,45.4,34,53.1,50,80.0,,,,,,,,,,,0.0,178.0
Cairo University,Egypt,COMBUSTION,71,40,54.7,39,51.0,72,55.0,,,,,56,7.5,60,5.0,,,0.0,173.0
Sheffield Hallam University,United Kingdom,COMBUSTION,72,45,51.6,77,35.7,50,80.0,,,,,,,,,,,0.0,167.0
Lund University,Sweden,COMBUSTION,73,65,39.3,60,41.9,50,80.0,,,,,,,67,3.0,,,0.0,164.0
Reykjavík University,Iceland,COMBUSTION,74,92,19.9,70,38.3,50,80.0,47,15.8,47,2.5,56,7.5,69,1.0,,,-10.0,155.0
University of Moratuwa,Sri Lanka,COMBUSTION,75,101,8.6,69,39.0,36,100.0,52,3.5,,,56,7.5,55,6.0,,,-10.0,155.0
Technological University Dublin,Ireland,COMBUSTION,76,50,48.5,47,47.6,72,55.0,,,,,,,,,,,0.0,151.0
Technische Universität Braunschweig,Germany,ELECTRIC,77,69,37.7,91,31.6,50,80.0,,,,,,,,,,,0.0,149.0
University of Cambridge,United Kingdom,COMBUSTION,78,4,75.3,87,32.5,50,80.0,,,,,56,7.5,64,4.0,,,-50.0,149.0
Fachhochschule Dortmund,Germany,COMBUSTION,79,102,6.0,,,50,80.0,36,28.8,46,2.8,56,7.5,26,22.0,,,-10.0,137.0
Aston University,United Kingdom,COMBUSTION,80,72,36.2,36,51.8,92,35.0,,,,,,,40,13.0,,,0.0,136.0
University College London,United Kingdom,COMBUSTION,81,71,36.6,56,43.3,72,55.0,,,,,,,,,,,0.0,135.0
Coventry University,United Kingdom,COMBUSTION,82,93,18.1,84,33.7,72,55.0,45,19.8,41,11.2,46,36.8,51,9.0,,,-50.0,134.0
Queen,United Kingdom,COMBUSTION,83,80,31.8,,,50,80.0,52,3.5,47,2.5,56,7.5,53,8.0,,,0.0,133.0
Kingston University,United Kingdom,ELECTRIC,84,90,21.4,30,54.6,82,50.0,,,,,,,,,,,0.0,126.0
Universitatea Transilvania din Braşov,Romania,COMBUSTION,85,88,23.7,72,37.3,72,55.0,,,,,,,55,6.0,,,0.0,122.0
City University London,United Kingdom,COMBUSTION,86,100,8.9,92,31.3,50,80.0,,,,,,,,,,,0.0,120.0
University of Glasgow,United Kingdom,COMBUSTION,87,36,56.1,37,51.1,72,55.0,,,,,,,,,,,-50.0,112.0
University of Dundee,United Kingdom,COMBUSTION,88,87,24.4,77,35.7,82,50.0,,,,,,,,,,,0.0,110.0
