name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Escola de Engenharia de São Carlos da Universidade de São Paulo,Brazil,COMBUSTION,1,1,73.0,1,135.0,10,49.89,9,30.12,1,50.0,1,150.0,5,244.94,2,92.0,0.0,825.0
Universidade Federal do Rio Grande do Sul,Brazil,COMBUSTION,2,2,71.0,13,51.75,3,70.11,12,12.4,6,38.73,8,103.82,1,291.12,1,100.0,0.0,739.0
Centro Universitário Facens,Brazil,COMBUSTION,3,6,69.0,17,42.2,15,43.21,4,55.5,7,33.83,2,135.08,2,269.06,4,67.0,0.0,715.0
Universidade Federal de Minas Gerais,Brazil,COMBUSTION,4,21,47.0,19,41.85,5,67.66,3,60.08,5,39.83,3,129.02,4,251.91,5,57.0,0.0,694.0
Universidade Federal do Rio de Janeiro,Brazil,COMBUSTION,5,11,62.25,11,59.95,12,48.1,10,26.32,,,9,70.64,3,262.3,3,77.0,0.0,607.0
Universidade Estadual de Campinas,Brazil,COMBUSTION,6,4,70.5,2,130.0,1,72.55,1,75.0,2,48.75,5,123.22,7,20.0,,,0.0,540.0
Instituto Mauá de Tecnologia,Brazil,COMBUSTION,7,9,65.0,5,85.6,14,45.0,2,70.38,4,43.47,4,125.35,8,18.0,6,28.0,0.0,481.0
Universidade Federal de Santa Maria,Brazil,COMBUSTION,8,7,67.75,3,120.0,24,27.23,,,,,7,109.27,10,11.0,,,0.0,335.0
Centro Federal de Educação Tecnológica de Minas Gerais,Brazil,COMBUSTION,9,13,57.0,6,79.85,16,39.13,,,,,6,111.1,9,17.0,,,0.0,304.0
Centro Universitário da FEI,Brazil,COMBUSTION,10,2,71.0,4,85.9,2,71.74,14,3.5,3,48.51,15,7.5,13,8.0,,,0.0,296.0
Escola Politécnica da Universidade de São Paulo,Brazil,COMBUSTION,11,17,51.5,9,70.0,11,48.91,11,20.12,11,2.5,10,68.79,15,4.0,,,0.0,266.0
Universidade Federal de São João del Rei,Brazil,COMBUSTION,12,14,56.5,7,78.35,13,45.65,6,43.75,9,12.39,15,7.5,,,,,0.0,244.0
Universidade Paulista,Brazil,COMBUSTION,13,15,55.25,21,20.0,20,30.98,5,48.07,8,13.61,15,7.5,6,67.27,,,0.0,243.0
Universidade de Brasília,Brazil,COMBUSTION,14,12,61.0,8,72.85,8,57.07,,,,,15,7.5,19,1.0,,,0.0,199.0
Universidade Federal da Bahia,Brazil,COMBUSTION,15,20,48.5,12,55.45,22,28.04,7,34.06,11,2.5,14,12.11,14,5.0,,,0.0,186.0
Polo Universitario de Volta Redonda - Universidade Federal Fluminense,Brazil,COMBUSTION,16,10,63.5,14,51.3,19,33.1,14,3.5,,,12,21.57,16,3.0,,,0.0,176.0
Universidade Federal de Santa Catarina,Brazil,COMBUSTION,17,16,54.75,,,25,25.27,8,33.06,10,6.05,11,53.07,18,2.0,,,0.0,174.0
UNESP - Campus de Ilha Solteira,Brazil,COMBUSTION,18,5,69.5,16,44.4,17,37.5,,,,,15,7.5,12,10.0,,,0.0,169.0
Universidade Federal de Santa Catarina - Joinville,Brazil,COMBUSTION,19,8,67.25,10,69.55,28,21.2,,,,,,,,,,,0.0,158.0
Federal University of Paraíba,Brazil,COMBUSTION,20,17,51.5,17,42.2,23,27.88,13,5.29,,,13,15.81,16,3.0,,,0.0,146.0
Universidade Estadual Paulista - Guaratinguetá,Brazil,COMBUSTION,21,17,51.5,15,45.6,21,30.82,,,,,,,,,,,0.0,128.0
Universidade Federal de Itajubá - Itajubá,Brazil,COMBUSTION,22,23,43.5,27,4.15,4,69.29,,,,,15,7.5,,,,,0.0,124.0
Universidade Comunitária Regional de Chapecó,Brazil,COMBUSTION,23,25,36.5,21,20.0,7,60.33,,,,,,,,,,,0.0,117.0
São Paulo State University - UNESP - Bauru,Brazil,COMBUSTION,24,22,46.0,,,9,53.8,,,,,,,10,11.0,,,0.0,111.0
Universidade Federal de São Carlos,Brazil,COMBUSTION,25,24,43.0,20,37.75,28,21.2,,,,,,,19,1.0,,,0.0,103.0
Universidade Federal Fluminense - Niterói,Brazil,COMBUSTION,26,,,21,20.0,6,62.77,,,,,,,,,,,0.0,83.0
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,COMBUSTION,27,,,24,15.0,18,33.42,,,,,,,,,,,0.0,48.0
Centro integrado de Manufatura e Tecnologia - SENAI/CIMATEC,Brazil,COMBUSTION,28,,,25,10.0,26,24.46,,,,,,,,,,,0.0,34.0
Universidade Federal de Itajubá - Itabira,Brazil,COMBUSTION,29,,,,,27,21.85,,,,,,,,,,,0.0,22.0
Universidade Federal de Mato Grosso,Brazil,COMBUSTION,30,,,26,5.0,,,,,,,,,,,,,0.0,5.0
Universidade Federal do Rio de Janeiro,Brazil,COMBUSTION,31,26,3.0,,,,,,,,,,,,,,,0.0,3.0
