name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Monash University,Australia,COMBUSTION,1,3,74.0,1,75.0,1,150.0,1,100.0,1,75.0,1,125.0,1,275.0,5,85.4,0.0,959.0
University of Wollongong,Australia,COMBUSTION,2,9,57.1,8,60.3,5,109.0,5,68.7,2,52.0,5,74.4,2,213.3,1,100.0,0.0,735.0
Curtin University,Australia,COMBUSTION,3,8,59.9,3,73.3,2,130.0,7,56.1,6,38.8,2,105.1,3,201.6,7,64.7,0.0,730.0
University of New South Wales,Australia,COMBUSTION,4,2,79.2,4,71.1,4,114.0,4,76.7,4,46.2,4,85.5,5,161.7,3,94.8,0.0,729.0
University of Melbourne,Australia,COMBUSTION,5,13,39.0,2,74.4,3,119.0,6,63.2,3,46.5,3,93.1,4,191.6,4,86.2,0.0,713.0
University of New South Wales - Australian Defence Force Academy,Australia,COMBUSTION,6,6,68.0,11,53.6,6,106.0,3,80.1,7,8.8,9,6.5,7,126.5,2,96.0,0.0,546.0
University of Waikato,New Zealand,COMBUSTION,7,12,47.5,13,48.5,11,79.0,,,,,6,72.1,6,154.3,6,81.1,0.0,482.0
Griffith University,Australia,COMBUSTION,8,4,71.5,6,67.7,7,94.0,2,84.1,5,42.3,8,35.3,8,7.0,,,0.0,402.0
University of Adelaide,Australia,COMBUSTION,9,7,65.1,9,59.8,10,89.0,8,53.2,8,3.5,,,,,,,0.0,270.0
Tokyo Denki University,Japan,COMBUSTION,10,1,85.3,15,40.0,12,77.0,,,,,7,46.8,9,6.0,,,0.0,255.0
Flinders University,Australia,COMBUSTION,11,5,69.3,16,32.4,8,93.0,10,21.9,,,9,6.5,10,5.0,,,0.0,228.0
RMIT University,Australia,COMBUSTION,12,14,36.8,5,68.8,9,92.0,,,,,,,,,,,0.0,198.0
VIT University - Vellore,India,COMBUSTION,13,10,54.0,7,61.5,13,73.0,,,,,,,12,1.0,,,0.0,190.0
University of South Australia,Australia,COMBUSTION,14,11,52.9,12,50.5,13,73.0,,,,,,,,,,,0.0,176.0
Western Sydney University,Australia,COMBUSTION,15,16,12.0,10,57.8,15,48.0,9,32.9,8,3.5,9,6.5,11,4.0,,,0.0,165.0
NED University of Engineering and Technology,Pakistan,COMBUSTION,16,15,27.2,14,44.5,16,9.0,,,,,,,,,,,0.0,81.0
