name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Monash University,Australia,ELECTRIC,1,6,54.0,3,65.2,1,150.0,4,86.3,1,75.0,1,125.0,1,275.0,2,81.5,0.0,912.0
University of Queensland,Australia,ELECTRIC,2,1,64.0,3,65.2,4,120.5,3,95.3,9,3.5,6,93.2,3,232.0,1,100.0,0.0,774.0
University of Canterbury,New Zealand,ELECTRIC,3,7,51.0,7,58.7,3,123.6,2,96.3,6,49.0,2,117.0,2,232.7,7,9.5,0.0,738.0
University of Adelaide,Australia,ELECTRIC,4,1,64.0,14,35.6,7,109.3,5,85.4,5,51.9,5,102.0,5,204.7,3,80.2,0.0,733.0
University of Auckland,New Zealand,ELECTRIC,5,8,49.0,1,75.0,2,136.6,7,69.2,2,61.0,4,102.8,7,186.5,5,45.3,0.0,726.0
RMIT University,Australia,ELECTRIC,6,12,42.0,11,51.1,8,101.8,1,100.0,4,59.2,3,107.0,8,180.1,,,0.0,641.0
University of Wollongong,Australia,ELECTRIC,7,4,58.0,6,59.5,10,86.5,6,84.1,7,45.6,8,80.8,4,214.0,8,4.1,0.0,633.0
"University of Technology, Sydney",Australia,ELECTRIC,8,3,61.0,9,52.5,11,85.8,8,62.7,8,14.9,9,57.8,6,201.8,4,69.0,0.0,606.0
The University of Newcastle,Australia,ELECTRIC,9,14,24.0,5,60.1,15,72.8,9,26.1,9,3.5,10,53.6,9,125.5,6,25.2,0.0,391.0
University of Melbourne,Australia,ELECTRIC,10,9,45.0,13,46.7,5,111.1,,,3,60.7,7,83.6,11,3.0,,,0.0,351.0
Swinburne University of Technology,Australia,ELECTRIC,11,9,45.0,9,52.5,6,109.4,,,9,3.5,11,34.0,10,7.0,,,0.0,251.0
Queensland University of Technology,Australia,ELECTRIC,12,5,56.0,2,69.3,9,91.3,,,,,,,,,,,0.0,217.0
University of Western Australia,Australia,ELECTRIC,13,11,43.0,8,57.1,13,78.7,,,,,,,,,,,0.0,179.0
University of South Australia,Australia,ELECTRIC,14,15,19.0,12,47.0,14,73.5,,,,,,,,,,,0.0,139.0
University of New South Wales,Australia,ELECTRIC,15,16,10.0,15,11.1,12,80.2,,,,,,,,,,,0.0,101.0
University of Tasmania,Australia,ELECTRIC,16,13,30.0,,,16,54.2,,,,,,,,,,,0.0,84.0
