name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
University of Modena and Reggio Emilia,Italy,COMBUSTION,1,13,90.4,17,54.9,2,143.0,1,74.5,4,39.6,2,124.5,1,300.0,14,45.4,0.0,872.0
Oxford Brookes University,United Kingdom,COMBUSTION,2,27,73.0,1,75.0,19,95.0,13,41.1,2,47.0,6,101.5,3,260.5,5,60.7,0.0,754.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,3,23,76.5,56,21.2,1,148.0,2,70.0,1,50.0,1,150.0,2,273.9,3,91.6,-150.0,731.0
Loughborough University,United Kingdom,COMBUSTION,4,34,67.2,16,56.9,11,112.0,21,24.6,5,39.2,13,82.1,4,202.6,13,46.0,0.0,631.0
Ecole Nationale d,France,COMBUSTION,5,8,95.0,30,43.2,22,90.0,5,56.0,12,28.7,4,103.4,8,172.8,17,39.5,0.0,628.0
University of Huddersfield,United Kingdom,COMBUSTION,6,17,86.9,22,51.5,35,75.0,11,42.5,7,34.4,10,94.8,6,187.4,11,46.5,0.0,619.0
University of Aberdeen,United Kingdom,COMBUSTION,7,46,56.8,20,53.9,13,105.0,3,66.8,18,20.2,3,110.7,9,133.7,7,57.5,0.0,605.0
University of the West of England,United Kingdom,COMBUSTION,8,37,61.4,23,51.3,18,97.0,13,41.1,10,30.0,11,89.2,7,179.2,18,35.1,0.0,584.0
University Of Hertfordshire,United Kingdom,COMBUSTION,9,13,90.4,14,57.9,7,119.0,12,41.8,17,20.9,30,4.5,5,187.9,4,61.5,0.0,584.0
University of the Basque Country,Spain,ELECTRIC,10,2,99.0,6,62.6,3,141.0,24,3.5,8,32.1,9,96.2,20,14.0,2,91.9,0.0,540.0
University of Surrey,United Kingdom,ELECTRIC,11,32,69.5,8,61.8,5,125.0,10,44.4,20,19.1,21,40.8,11,60.1,1,100.0,0.0,521.0
University of Glasgow,United Kingdom,COMBUSTION,12,32,69.5,3,68.0,8,115.0,6,55.0,6,37.8,14,71.7,15,21.0,8,53.4,0.0,492.0
University of Agder,Norway,COMBUSTION,13,3,98.0,12,58.5,32,77.0,17,36.8,15,24.1,16,64.3,12,47.0,12,46.1,0.0,451.0
University of Sheffield,United Kingdom,COMBUSTION,14,8,95.0,5,65.0,13,105.0,15,39.3,9,30.2,7,99.4,37,5.0,,,0.0,439.0
University of Bath,United Kingdom,COMBUSTION,15,13,90.4,9,60.8,8,115.0,,,,,28,14.1,10,84.4,9,49.9,0.0,415.0
Brunel University London,United Kingdom,COMBUSTION,16,27,73.0,26,48.2,13,105.0,8,48.3,11,28.8,8,98.1,33,7.0,,,0.0,408.0
Manchester Metropolitan University,United Kingdom,COMBUSTION,17,23,76.5,41,30.5,50,51.0,16,37.2,16,21.0,5,102.3,22,13.0,10,47.2,0.0,379.0
"Cardiff University, Wales",United Kingdom,COMBUSTION,18,39,60.2,14,57.9,12,110.0,4,57.4,22,12.0,17,60.1,27,9.0,,,0.0,367.0
Linköping University,Sweden,COMBUSTION,19,31,70.7,31,42.8,20,91.0,20,30.2,21,17.8,20,48.1,17,20.0,15,41.9,0.0,362.0
University of Southampton,United Kingdom,COMBUSTION,20,4,97.0,6,62.6,10,114.0,18,34.1,3,44.5,,,39,3.0,,,0.0,355.0
Sheffield Hallam University,United Kingdom,COMBUSTION,21,6,96.0,29,45.0,35,75.0,24,3.5,19,19.7,15,68.0,13,25.0,,,0.0,332.0
Ain Shams University,Egypt,COMBUSTION,22,4,97.0,2,70.0,39,74.0,,,,,27,15.3,23,12.0,6,60.4,0.0,329.0
De Montfort University,United Kingdom,COMBUSTION,23,20,82.3,24,51.1,32,77.0,9,47.9,13,25.0,23,36.3,35,6.0,,,0.0,326.0
Queen,United Kingdom,COMBUSTION,24,21,78.8,25,50.5,4,134.0,,,,,19,51.0,27,9.0,,,0.0,323.0
University of Strathclyde,United Kingdom,COMBUSTION,25,11,93.8,,,13,105.0,,,,,12,84.5,39,3.0,,,0.0,286.0
Birmingham City University,United Kingdom,COMBUSTION,26,22,77.6,11,59.7,46,57.0,,,,,24,28.1,20,14.0,16,40.5,0.0,277.0
University of Liverpool,United Kingdom,COMBUSTION,27,1,100.0,13,58.3,22,90.0,,,,,,,37,5.0,,,0.0,253.0
Swansea University,United Kingdom,COMBUSTION,28,44,57.9,4,67.0,56,41.0,7,49.9,23,8.6,26,16.4,23,12.0,,,0.0,253.0
University of Hull,United Kingdom,COMBUSTION,29,30,71.8,54,22.0,27,85.0,23,4.1,14,24.7,25,23.1,15,21.0,,,0.0,252.0
Indian Institute of Technology Bombay,India,ELECTRIC,30,34,67.2,43,28.7,30,84.0,,,,,18,58.0,27,9.0,,,0.0,247.0
University of Bath,United Kingdom,ELECTRIC,31,16,88.1,34,38.1,6,120.0,,,,,,,,,,,0.0,246.0
Heriot-Watt University,United Kingdom,COMBUSTION,32,18,83.4,27,47.8,32,77.0,22,22.0,25,3.5,30,4.5,39,3.0,,,0.0,241.0
Coventry University,United Kingdom,COMBUSTION,33,25,75.3,38,34.9,24,89.0,,,,,30,4.5,13,25.0,,,0.0,229.0
University of Birmingham,United Kingdom,COMBUSTION,34,8,95.0,57,18.8,13,105.0,,,,,,,27,9.0,,,0.0,228.0
Cairo University,Egypt,ELECTRIC,35,11,93.8,34,38.1,20,91.0,,,,,,,,,,,0.0,223.0
University of Manchester,United Kingdom,COMBUSTION,36,34,67.2,44,28.3,26,86.0,24,3.5,24,8.1,29,12.1,46,1.0,,,0.0,206.0
Ain Shams University,Egypt,ELECTRIC,37,6,96.0,18,54.1,44,64.0,,,,,,,,,,,-10.0,204.0
University of Sussex,United Kingdom,COMBUSTION,38,39,60.2,18,54.1,57,35.0,,,,,22,37.5,27,9.0,,,0.0,196.0
National University of Sciences and Technology - Karachi,Pakistan,COMBUSTION,40,48,54.5,10,60.4,39,74.0,,,,,,,,,,,0.0,189.0
University College Dublin,Ireland,ELECTRIC,41,18,83.4,33,40.2,51,47.0,,,,,,,,,,,0.0,171.0
University of Portsmouth,United Kingdom,COMBUSTION,42,25,75.3,47,26.0,47,54.0,,,,,,,32,8.0,,,0.0,163.0
University of Cambridge,United Kingdom,COMBUSTION,43,54,35.9,45,28.1,41,71.0,,,,,30,4.5,19,15.0,,,0.0,155.0
Rajendra Mane College of Engineering and Technology,India,COMBUSTION,44,54,35.9,32,42.6,35,75.0,,,,,,,,,,,0.0,154.0
University of Edinburgh,United Kingdom,COMBUSTION,45,58,26.7,52,22.8,27,85.0,24,3.5,25,3.5,30,4.5,33,7.0,,,0.0,153.0
Universidad Europea de Madrid,Spain,COMBUSTION,46,42,59.1,60,10.7,35,75.0,,,,,,,42,2.0,,,0.0,147.0
University of Leeds,United Kingdom,COMBUSTION,47,39,60.2,21,53.3,58,31.0,,,,,,,,,,,0.0,145.0
Imperial College London,United Kingdom,ELECTRIC,48,27,73.0,40,32.1,45,63.0,,,,,,,,,,,-25.0,143.0
Lancaster  University,United Kingdom,ELECTRIC,49,42,59.1,58,15.3,42,65.0,,,,,,,,,,,0.0,139.0
University of Stavanger,Norway,ELECTRIC,50,56,27.8,46,26.6,31,82.0,,,,,,,,,,,0.0,136.0
University of Southern Denmark,Denmark,ELECTRIC,51,44,57.9,49,25.0,49,53.0,,,,,,,,,,,0.0,136.0
Aston University,United Kingdom,COMBUSTION,52,52,39.4,39,32.9,55,44.0,24,3.5,25,3.5,30,4.5,42,2.0,,,0.0,130.0
University of Warwick,United Kingdom,ELECTRIC,53,46,56.8,37,35.3,25,87.0,,,,,,,,,,,-50.0,129.0
University of Wolverhampton,United Kingdom,COMBUSTION,54,50,45.2,48,25.6,60,20.0,18,34.1,,,,,42,2.0,,,0.0,127.0
University of Sunderland,United Kingdom,COMBUSTION,55,51,42.9,27,47.8,59,25.0,,,,,,,25,11.0,,,0.0,127.0
Universitatea Transilvania din Braşov,Romania,COMBUSTION,56,61,5.8,52,22.8,27,85.0,,,,,30,4.5,35,6.0,,,0.0,124.0
University of Brighton,United Kingdom,COMBUSTION,57,53,37.1,,,42,65.0,,,,,,,17,20.0,,,0.0,122.0
University of Salford,United Kingdom,COMBUSTION,58,49,46.3,50,24.0,62,17.0,,,,,,,,,,,0.0,87.0
University of Central Lancashire,United Kingdom,COMBUSTION,59,37,61.4,,,63,14.0,,,,,,,26,10.0,,,0.0,85.0
University of Nottingham,United Kingdom,ELECTRIC,60,,,36,37.7,54,45.0,,,,,,,,,,,0.0,83.0
University of Southern Denmark,Denmark,ELECTRIC,61,60,11.6,,,51,47.0,,,,,,,,,,,0.0,59.0
Staffordshire University,United Kingdom,COMBUSTION,62,56,27.8,42,29.7,,,,,,,,,46,1.0,,,0.0,58.0
University of Dundee,United Kingdom,COMBUSTION,63,59,23.2,59,13.7,60,20.0,,,,,,,,,,,-10.0,47.0
University of Exeter,United Kingdom,COMBUSTION,64,64,-64.0,51,23.2,47,54.0,24,3.5,25,3.5,30,4.5,42,2.0,,,0.0,27.0
Brunel University London,United Kingdom,ELECTRIC,65,63,-52.0,55,21.8,51,47.0,,,,,,,,,,,0.0,17.0
