name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Politecnico di Milano,Italy,COMBUSTION,1,2,97.0,3,72.0,2,131.0,2,66.76,1,75.0,2,97.78,1,325.0,3,97.78,0.0,962.0
Lund University,Sweden,COMBUSTION,2,5,95.0,6,67.4,1,133.0,7,60.54,5,51.47,4,76.59,3,274.79,4,97.7,0.0,856.0
Brno University of Technology,Czech Republic,COMBUSTION,3,4,96.0,8,59.2,4,124.0,12,51.59,4,51.72,7,49.35,2,310.93,2,98.13,0.0,841.0
Aristotle University of Thessaloniki,Greece,COMBUSTION,4,7,82.94,7,66.9,3,128.0,6,61.28,10,37.1,11,9.75,4,188.72,6,94.27,0.0,669.0
University Of Hertfordshire,United Kingdom,COMBUSTION,5,9,72.38,16,52.1,14,86.0,10,51.76,3,54.42,8,40.74,5,168.61,1,100.0,0.0,626.0
University of Seville,Spain,COMBUSTION,6,9,72.38,1,75.0,14,86.0,5,63.84,7,49.65,3,89.56,7,88.57,5,95.02,0.0,620.0
University of the West of England,United Kingdom,COMBUSTION,7,13,63.33,19,43.8,12,92.0,15,30.52,9,39.35,6,55.26,6,151.5,9,91.19,0.0,567.0
Technische Universität Graz,Austria,COMBUSTION,8,3,96.5,2,73.0,5,113.0,3,65.27,2,65.06,1,100.0,,,,,0.0,513.0
Czech Technical University in Prague,Czech Republic,COMBUSTION,9,1,98.0,11,58.0,10,95.0,8,59.77,6,50.21,5,69.01,,,,,0.0,430.0
Manchester Metropolitan University,United Kingdom,COMBUSTION,10,14,58.81,24,31.3,21,58.0,11,51.63,12,26.51,12,4.5,8,82.13,7,93.24,0.0,406.0
Linköping University,Sweden,COMBUSTION,11,14,58.81,23,39.3,17,81.0,14,34.33,,,12,4.5,9,79.49,8,92.08,0.0,390.0
Silesian University of Technology,Poland,COMBUSTION,12,7,82.94,15,52.9,8,96.0,1,75.0,11,31.41,9,38.49,,,,,0.0,377.0
École Centrale de Lyon,France,COMBUSTION,13,6,84.44,4,70.0,8,96.0,4,65.17,13,18.97,10,19.79,,,,,0.0,354.0
"Cardiff University, Wales",United Kingdom,COMBUSTION,14,9,72.38,8,59.2,6,102.0,9,52.39,,,12,4.5,,,,,0.0,290.0
FH Campus Wien,Austria,COMBUSTION,15,16,55.79,25,25.3,11,93.0,13,37.24,8,49.58,12,4.5,,,,,0.0,265.0
University of Belgrade,Serbia,COMBUSTION,16,17,40.71,5,69.4,13,90.0,,,,,,,,,,,0.0,200.0
Budapest University of Technology and Economics,Hungary,COMBUSTION,17,17,40.71,17,50.1,16,85.0,16,3.5,,,,,,,,,0.0,179.0
University of Burgundy - ISAT,France,COMBUSTION,18,12,69.37,,,7,97.0,,,,,,,,,,,0.0,166.0
Technische Universität Dortmund,Germany,COMBUSTION,19,20,27.14,21,42.1,20,74.0,,,,,,,,,,,0.0,143.0
Ruhr-Universität Bochum,Germany,COMBUSTION,20,,,13,57.1,18,80.0,,,,,,,,,,,0.0,137.0
Bergische Universität Wuppertal,Germany,COMBUSTION,21,,,20,42.3,22,55.0,,,14,3.5,,,10,25.0,,,0.0,126.0
HAN University of Applied Sciences,Netherlands,COMBUSTION,22,19,39.21,17,50.1,24,33.0,,,,,,,,,,,0.0,122.0
Rzeszów University of Technology,Poland,COMBUSTION,23,,,22,40.3,19,79.0,,,,,,,,,,,0.0,119.0
Helmut Schmidt Universität / Universität der Bundeswehr Hamburg,Germany,COMBUSTION,24,,,11,58.0,25,21.0,,,,,,,,,,,0.0,79.0
University Politehnica Of Bucharest,Romania,COMBUSTION,25,,,10,58.3,,,,,,,,,,,,,0.0,58.0
TAMK University of Applied Sciences,Finland,COMBUSTION,26,,,14,54.2,,,,,,,,,,,,,0.0,54.0
Reykjavík University,Iceland,COMBUSTION,27,,,,,23,47.0,,,,,,,,,,,0.0,47.0
Ufa State Aviation Technical University,Russia,COMBUSTION,28,,,26,16.4,26,15.0,,,,,,,,,,,0.0,31.0
