name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
GFR DHBW Ravensburg & Oregon State University,Bermuda,COMBUSTION,1,2,90.71,4,67.35,2,140.0,8,67.65,3,45.35,1,150.0,1,395.63,,,0.0,957.0
Universität Stuttgart,Germany,COMBUSTION,2,17,74.44,2,70.41,1,141.0,1,75.0,2,46.48,4,134.24,5,311.07,,,0.0,853.0
Technische Universität Darmstadt,Germany,COMBUSTION,3,10,81.92,3,68.88,13,117.0,3,70.16,1,50.0,7,114.4,2,346.13,,,-10.0,838.0
Westsächsische Hochschule Zwickau,Germany,COMBUSTION,4,8,82.11,1,75.0,5,134.0,7,67.95,11,40.97,3,135.22,10,290.07,,,0.0,825.0
Technische Universität Graz,Austria,COMBUSTION,5,18,74.36,19,52.04,3,138.0,4,69.85,10,41.2,6,119.0,4,327.35,,,0.0,822.0
Technische Universität Bergakademie Freiberg,Germany,COMBUSTION,6,14,75.79,10,61.22,9,129.0,12,64.95,7,44.14,9,109.25,6,306.48,,,0.0,791.0
Hochschule Esslingen,Germany,COMBUSTION,7,32,51.98,14,53.57,6,133.0,2,70.58,5,44.73,5,122.89,9,291.66,,,-5.0,763.0
Ostbayerische Technische Hochschule Amberg-Weiden (OTH),Germany,COMBUSTION,8,12,76.24,14,53.57,11,125.0,13,62.85,15,35.29,11,104.31,8,291.84,,,0.0,749.0
Università di Pisa,Italy,COMBUSTION,9,9,82.06,24,48.98,17,112.0,21,45.57,28,21.81,10,107.27,7,294.96,,,-5.0,708.0
Ostbayerische Technische Hochschule Regensburg,Germany,COMBUSTION,10,22,72.5,12,59.69,24,101.0,6,68.41,14,35.73,14,92.07,12,267.63,,,0.0,697.0
Fachhochschule Joanneum Graz,Austria,COMBUSTION,11,20,73.61,33,36.74,8,131.0,23,43.28,4,44.89,15,87.09,13,258.97,,,-5.0,671.0
Barcelona School of Industrial Engineering - ETSEIB - UPC,Spain,COMBUSTION,12,5,86.0,7,64.29,13,117.0,25,41.08,6,44.54,13,96.22,14,227.87,,,-15.0,662.0
