name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
TU Delft,Netherlands,ELECTRIC,1,22,51.7,13,66.8,1,150.0,2,67.1,4,65.2,1,100.0,1,325.0,12,92.8,0.0,919.0
ETH Zürich,Switzerland,ELECTRIC,2,10,70.5,5,70.0,2,148.0,1,75.0,1,75.0,4,79.6,2,296.6,5,96.5,0.0,911.0
Technical University of Munich,Germany,ELECTRIC,3,1,89.0,2,74.0,3,138.0,5,60.1,3,66.8,2,87.7,4,283.3,15,84.4,0.0,883.0
Karlsruhe Institute of Technology,Germany,ELECTRIC,4,15,65.2,8,67.8,4,136.0,4,66.4,8,57.9,3,84.0,3,292.4,7,95.6,0.0,865.0
Fachhochschule München,Germany,ELECTRIC,5,3,88.3,1,75.0,7,120.0,3,67.0,6,62.1,5,67.6,5,187.8,10,93.5,0.0,761.0
Technische Universität Dresden,Germany,ELECTRIC,6,14,68.2,5,70.0,19,97.0,10,38.2,19,15.5,6,63.2,7,183.6,9,94.5,0.0,630.0
Escola Superior d,Spain,ELECTRIC,7,4,87.7,22,55.5,8,116.0,8,48.3,12,40.9,14,31.4,10,149.3,2,99.8,0.0,629.0
Fachhochschule Osnabrück,Germany,ELECTRIC,8,7,82.7,25,51.4,19,97.0,16,30.5,15,31.1,12,36.4,6,187.2,8,95.3,0.0,612.0
Technische Universität Darmstadt,Germany,ELECTRIC,9,17,62.0,16,59.6,17,100.0,,,7,61.6,8,49.0,8,179.6,6,96.2,0.0,608.0
Westsächsische Hochschule Zwickau,Germany,ELECTRIC,10,8,76.6,7,68.8,12,109.0,12,36.2,,,13,33.4,9,173.2,13,91.9,0.0,589.0
Universität Stuttgart,Germany,ELECTRIC,11,5,85.3,3,73.0,5,135.0,6,59.5,2,73.7,9,48.2,,,11,93.3,0.0,568.0
Barcelona School of Industrial Engineering - ETSEIB - UPC,Spain,ELECTRIC,12,18,59.0,4,71.0,9,115.0,15,30.8,11,47.0,16,29.6,11,89.0,1,100.0,0.0,541.0
Tallinn TU UAS,Estonia,ELECTRIC,13,9,73.5,13,66.8,13,107.0,9,42.5,5,64.7,10,40.6,13,34.0,3,99.2,0.0,528.0
Technische Universiteit Eindhoven,Netherlands,ELECTRIC,14,2,88.7,16,59.6,6,123.0,18,18.3,13,38.8,15,30.1,,,4,98.1,0.0,457.0
Technische Universität Bergakademie Freiberg,Germany,ELECTRIC,15,19,56.1,20,56.5,15,104.0,17,24.5,9,54.1,7,58.7,,,,,0.0,354.0
KU Leuven - Group T Campus,Belgium,ELECTRIC,16,23,50.5,16,59.6,10,112.0,11,37.9,,,11,39.0,14,25.0,,,0.0,324.0
Leibniz Universität Hannover,Germany,ELECTRIC,17,11,69.5,13,66.8,18,99.0,7,56.2,17,26.6,19,4.5,,,,,0.0,322.0
Fachhochschule Kiel,Germany,ELECTRIC,18,16,63.8,8,67.8,28,55.0,,,,,19,4.5,12,37.0,14,91.3,0.0,319.0
University of the Basque Country,Spain,ELECTRIC,19,6,83.3,20,56.5,14,106.0,13,34.1,16,30.2,18,4.6,,,,,0.0,315.0
Deggendorf Institute of Technology,Germany,ELECTRIC,20,11,69.5,19,58.6,10,112.0,,,10,51.4,17,8.5,,,,,0.0,300.0
Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,Germany,ELECTRIC,21,21,54.0,24,52.4,21,96.0,14,33.6,14,31.2,19,4.5,,,,,0.0,272.0
Barcelona East School of Engineering - EEBE - UPC,Spain,ELECTRIC,22,13,68.6,8,67.8,16,102.0,,,18,19.3,19,4.5,,,,,0.0,262.0
TECNUN - University of Navarra,Spain,ELECTRIC,23,28,36.6,8,67.8,22,79.0,,,,,,,,,,,0.0,183.0
Fachhochschule für Wirtschaft und Technik,Germany,ELECTRIC,24,27,36.9,8,67.8,26,64.0,,,,,,,,,,,0.0,169.0
Universidad Politécnica de Cartagena,Spain,ELECTRIC,25,24,45.6,25,51.4,24,69.0,,,,,,,,,,,0.0,166.0
Ben-Gurion University of the Negev,Israel,ELECTRIC,26,25,39.2,22,55.5,27,63.0,,,20,3.5,,,,,,,0.0,161.0
Universität Bremen,Germany,ELECTRIC,27,20,55.0,27,31.9,25,66.0,,,,,,,,,,,0.0,153.0
Universidad de Oviedo,Spain,ELECTRIC,28,26,38.8,28,21.6,22,79.0,,,,,,,,,,,0.0,139.0
Rhein-Waal University of Applied Sciences,Germany,ELECTRIC,29,,,28,21.6,,,,,,,,,,,,,0.0,22.0
