name,country,kind,place,cost_place,cost_score,bp_place,bp_score,ed_place,ed_score,acc_place,acc_score,sp_place,sp_score,autox_place,autox_score,endu_place,endu_score,eff_place,eff_score,pen,total
Texas A&M University,United States,COMBUSTION,1,36,62.0,1,75.0,7,120.0,9,64.27,5,42.52,1,150.0,3,328.87,,,0.0,843.0
University of Kansas,United States,COMBUSTION,2,28,66.0,5,71.13,5,125.0,10,63.67,14,35.01,9,124.26,2,353.87,,,0.0,839.0
Auburn University,United States,COMBUSTION,3,10,81.0,25,58.24,2,145.0,6,69.77,19,31.15,20,92.45,4,320.11,,,0.0,798.0
Purdue University - West Lafayette,United States,COMBUSTION,4,6,84.0,13,64.35,12,100.0,4,70.57,2,48.65,12,114.37,5,310.77,,,0.0,793.0
University of Toledo,United States,COMBUSTION,5,18,74.0,17,61.58,28,80.0,20,56.26,4,44.54,17,100.43,1,355.75,,,0.0,773.0
South Dakota School of Mines and Technology,United States,COMBUSTION,6,24,70.0,10,68.07,7,120.0,22,53.23,11,38.58,6,129.98,7,284.32,,,0.0,764.0
"California State University, Northridge",United States,COMBUSTION,7,20,72.0,28,56.6,12,100.0,3,72.57,1,50.0,7,128.7,9,278.63,,,0.0,758.0
University of Illinois at Urbana-Champaign,United States,COMBUSTION,8,25,69.0,3,73.0,12,100.0,7,66.83,9,40.07,8,127.56,8,281.88,,,0.0,758.0
Shibaura Institute of Technology,Japan,COMBUSTION,9,40,57.0,30,53.75,12,100.0,27,47.64,12,38.06,5,130.42,6,294.75,,,0.0,722.0
Michigan State University,United States,COMBUSTION,10,6,84.0,2,73.27,3,135.0,1,75.0,13,35.06,3,146.2,16,161.33,,,0.0,710.0
"California State Polytechnic University, Pomona",United States,COMBUSTION,11,3,89.0,7,70.11,12,100.0,16,59.0,17,32.03,16,104.25,14,221.29,,,0.0,676.0
Clemson University,United States,COMBUSTION,12,16,75.0,31,52.92,7,120.0,11,63.07,26,22.18,28,61.62,13,223.2,,,0.0,618.0
Tokyo Denki University,Japan,COMBUSTION,13,4,87.0,38,48.75,28,80.0,32,40.77,8,40.17,15,104.79,15,162.5,,,0.0,564.0
University of Oklahoma,United States,COMBUSTION,14,12,79.0,20,59.52,1,150.0,13,62.52,3,45.61,2,149.32,,,,,0.0,546.0
University of Maryland,United States,COMBUSTION,15,35,63.0,48,40.28,12,100.0,5,70.51,7,40.47,14,105.49,19,123.05,,,0.0,543.0
"California State University, Sacramento",United States,COMBUSTION,16,39,60.0,37,48.8,43,40.0,26,48.46,22,28.37,30,60.85,12,225.96,,,0.0,512.0
Rensselaer Polytechnic Institute,United States,COMBUSTION,17,5,86.0,9,68.22,7,120.0,8,65.59,16,32.42,10,119.37,,,,,0.0,492.0
The Ohio State University,United States,COMBUSTION,18,28,66.0,15,63.32,59,-20.0,,,,,11,118.63,10,257.5,,,0.0,485.0
Instituto Tecnológico de Chihuahua,Mexico,COMBUSTION,19,25,69.0,22,58.92,28,80.0,41,8.29,35,6.5,43,16.1,11,233.97,,,0.0,473.0
University of Washington,United States,COMBUSTION,20,16,75.0,18,61.1,5,125.0,38,31.04,28,19.95,4,131.96,,,,,0.0,444.0
Dartmouth College,United States,COMBUSTION,21,23,71.0,16,62.27,7,120.0,18,58.0,20,28.95,21,89.88,,,,,0.0,430.0
Brigham Young University,United States,COMBUSTION,22,28,66.0,21,59.15,4,130.0,14,62.22,23,24.77,27,62.91,,,,,0.0,405.0
Missouri University of Science and Technology,United States,COMBUSTION,23,34,64.0,4,72.29,12,100.0,23,50.33,36,4.75,13,111.26,,,,,0.0,403.0
Montana State University - Bozeman,United States,COMBUSTION,24,20,72.0,8,68.3,43,40.0,36,39.0,39,2.5,38,41.51,17,134.54,,,0.0,398.0
Chalmers University of Technology,Sweden,COMBUSTION,25,51,50.0,12,66.27,36,70.0,2,73.28,6,41.38,18,95.94,,,,,0.0,397.0
Kumoh National Institute of Technology,South Korea,COMBUSTION,26,2,92.0,26,57.92,37,60.0,12,62.77,31,17.71,19,93.51,,,,,0.0,384.0
University of Leeds,United Kingdom,COMBUSTION,27,1,94.0,50,37.41,12,100.0,19,57.01,25,23.27,26,64.29,,,,,0.0,376.0
Escola de Engenharia de São Carlos da Universidade de São Paulo,Brazil,COMBUSTION,28,12,79.0,6,71.09,12,100.0,25,48.98,21,28.79,37,43.31,,,,,0.0,371.0
Lehigh University,United States,COMBUSTION,29,8,82.0,14,63.89,12,100.0,34,40.65,27,21.75,31,56.25,,,,,0.0,365.0
