id,kind,date,competitiveness,abbr,name,teams
129,MIXED,2015-07-12,0.94,UK ,Formula Student United Kingdom 2015,92
125,MIXED,2014-12-14,0.89,AU ,Formula SAE® Australasia 2014,22
123,MIXED,2014-09-06,0.93,JP ,Student Formula Japan 2014,75
122,ELECTRIC,2014-09-01,0.85,IT ,Formula SAE® Italy 2014,20
120,ELECTRIC,2014-08-31,0.96,ES ,Formula Student Spain 2014,23
118,MIXED,2014-08-24,0.9,HU ,Formula Student Hungary 2014,38
117,ELECTRIC,2014-08-20,0.97,AT ,Formula Student Austria 2014,18
115,ELECTRIC,2014-08-03,1.0,DE ,Formula Student Germany 2014,39
113,MIXED,2014-07-13,0.98,UK ,Formula Student United Kingdom 2014,90
110,MIXED,2013-12-15,0.87,AU ,Formula SAE® Australasia 2013,23
108,ELECTRIC,2013-09-16,0.95,IT ,Formula SAE® Italy 2013,24
106,MIXED,2013-09-07,0.93,JP ,Student Formula Japan 2013,69
105,ELECTRIC,2013-09-01,0.85,ES ,Formula Student Spain 2013,16
103,MIXED,2013-08-29,0.97,AT ,Formula Student Austria 2013,39
102,MIXED,2013-08-25,0.92,HU ,Formula Student Hungary 2013,37
101,ELECTRIC,2013-08-04,1.0,DE ,Formula Student Germany 2013,40
99,MIXED,2013-07-07,0.97,UK ,Formula Student United Kingdom 2013,83
96,MIXED,2012-12-09,0.88,AU ,Formula SAE® Australasia 2012,21
94,ELECTRIC,2012-09-17,0.85,IT ,Formula SAE® Italy 2012,17
91,ELECTRIC,2012-09-02,0.85,ES ,Formula Student Spain 2012,13
89,MIXED,2012-08-20,0.91,HU ,Formula Student Hungary 2012,39
88,ELECTRIC,2012-08-05,0.99,DE ,Formula Student Germany 2012,32
86,MIXED,2012-07-20,0.95,AT ,Formula Student Austria 2012,37
85,MIXED,2012-07-15,0.95,UK ,Formula Student United Kingdom 2012,97
82,MIXED,2011-12-18,0.87,AU ,Formula SAE® Australasia 2011,23
77,ELECTRIC,2011-08-07,0.98,DE ,Formula Student Germany 2011,28
75,MIXED,2011-07-30,0.94,AT ,Formula Student Austria 2011,27
74,ELECTRIC,2011-07-17,0.85,UK ,Formula Student United Kingdom 2011,13
70,MIXED,2010-12-12,0.9,AU ,Formula SAE® Australasia 2010,27
66,MIXED,2010-08-14,0.93,AT ,Formula Student Austria 2010,27
65,ELECTRIC,2010-08-08,1.0,DE ,Formula Student Germany 2010,15
