id,kind,date,competitiveness,abbr,name,teams
165,COMBUSTION,2017-07-23,0.91,IT ,Formula SAE® Italy 2017,43
164,COMBUSTION,2017-06-24,0.92,LN ,Formula SAE® Lincoln 2017,70
162,COMBUSTION,2017-05-13,0.98,MI ,Formula SAE® Michigan 2017,109
161,MIXED,2016-12-11,0.9,AU ,Formula SAE® Australasia 2016,32
160,COMBUSTION,2016-11-27,0.85,BR ,Fórmula SAE® Brasil 2016,31
159,MIXED,2016-09-10,0.94,JP ,Student Formula Japan 2016,83
157,COMBUSTION,2016-08-28,0.97,ES ,Formula Student Spain 2016,36
155,COMBUSTION,2016-08-14,0.99,DE ,Formula Student Germany 2016,73
153,COMBUSTION,2016-08-07,0.9,CZ ,Formula Student Czech Republic 2016,25
151,COMBUSTION,2016-08-04,0.97,AT ,Formula Student Austria 2016,21
150,MIXED,2016-07-31,0.89,EA ,Formula Student East 2016,28
148,COMBUSTION,2016-07-25,0.88,IT ,Formula SAE® Italy 2016,38
147,MIXED,2016-07-17,0.98,UK ,Formula Student United Kingdom 2016,106
146,COMBUSTION,2016-06-18,0.92,LN ,Formula SAE® Lincoln 2016,69
145,COMBUSTION,2016-06-05,0.9,FN ,Formula SAE® North - Canada 2016,25
144,COMBUSTION,2016-05-14,0.98,MI ,Formula SAE® Michigan 2016,114
143,MIXED,2015-12-13,0.92,AU ,Formula SAE® Australasia 2015,29
142,COMBUSTION,2015-10-04,0.85,BR ,Fórmula SAE® Brasil 2015,31
140,COMBUSTION,2015-09-14,0.87,IT ,Formula SAE® Italy 2015,43
138,COMBUSTION,2015-09-06,0.88,CZ ,Formula Student Czech Republic 2015,22
137,MIXED,2015-09-05,0.95,JP ,Student Formula Japan 2015,75
135,COMBUSTION,2015-08-30,0.9,ES ,Formula Student Spain 2015,28
134,MIXED,2015-08-23,0.9,HU ,Formula Student Hungary 2015,37
132,COMBUSTION,2015-08-13,0.94,AT ,Formula Student Austria 2015,20
130,COMBUSTION,2015-08-02,0.97,DE ,Formula Student Germany 2015,71
129,MIXED,2015-07-12,0.94,UK ,Formula Student United Kingdom 2015,92
128,COMBUSTION,2015-06-20,0.94,LN ,Formula SAE® Lincoln 2015,64
127,COMBUSTION,2015-06-07,0.87,FN ,Formula SAE® North - Canada 2015,18
126,COMBUSTION,2015-05-16,0.95,MI ,Formula SAE® Michigan 2015,108
125,MIXED,2014-12-14,0.89,AU ,Formula SAE® Australasia 2014,22
124,COMBUSTION,2014-10-19,0.85,BR ,Fórmula SAE® Brasil 2014,26
123,MIXED,2014-09-06,0.93,JP ,Student Formula Japan 2014,75
121,COMBUSTION,2014-09-01,0.9,IT ,Formula SAE® Italy 2014,44
119,COMBUSTION,2014-08-31,0.91,ES ,Formula Student Spain 2014,25
118,MIXED,2014-08-24,0.9,HU ,Formula Student Hungary 2014,38
116,COMBUSTION,2014-08-20,0.91,AT ,Formula Student Austria 2014,19
114,COMBUSTION,2014-08-03,0.98,DE ,Formula Student Germany 2014,74
113,MIXED,2014-07-13,0.98,UK ,Formula Student United Kingdom 2014,90
112,COMBUSTION,2014-06-21,0.94,LN ,Formula SAE® Lincoln 2014,66
111,COMBUSTION,2014-05-17,0.97,MI ,Formula SAE® Michigan 2014,107
110,MIXED,2013-12-15,0.87,AU ,Formula SAE® Australasia 2013,23
109,COMBUSTION,2013-11-03,0.85,BR ,Fórmula SAE® Brasil 2013,24
107,COMBUSTION,2013-09-16,0.94,IT ,Formula SAE® Italy 2013,42
106,MIXED,2013-09-07,0.93,JP ,Student Formula Japan 2013,69
104,COMBUSTION,2013-09-01,0.85,ES ,Formula Student Spain 2013,15
103,MIXED,2013-08-29,0.97,AT ,Formula Student Austria 2013,39
102,MIXED,2013-08-25,0.92,HU ,Formula Student Hungary 2013,37
100,COMBUSTION,2013-08-04,0.97,DE ,Formula Student Germany 2013,74
99,MIXED,2013-07-07,0.97,UK ,Formula Student United Kingdom 2013,83
98,COMBUSTION,2013-06-21,0.93,LN ,Formula SAE® Lincoln 2013,60
97,COMBUSTION,2013-05-11,0.97,MI ,Formula SAE® Michigan 2013,104
96,MIXED,2012-12-09,0.88,AU ,Formula SAE® Australasia 2012,21
95,COMBUSTION,2012-12-02,0.85,BR ,Fórmula SAE® Brasil 2012,26
93,COMBUSTION,2012-09-17,0.9,IT ,Formula SAE® Italy 2012,37
92,COMBUSTION,2012-09-07,0.94,JP ,Student Formula Japan 2012,68
90,COMBUSTION,2012-09-02,0.85,ES ,Formula Student Spain 2012,16
89,MIXED,2012-08-20,0.91,HU ,Formula Student Hungary 2012,39
87,COMBUSTION,2012-08-05,0.98,DE ,Formula Student Germany 2012,76
86,MIXED,2012-07-20,0.95,AT ,Formula Student Austria 2012,37
85,MIXED,2012-07-15,0.95,UK ,Formula Student United Kingdom 2012,97
84,COMBUSTION,2012-06-23,0.94,LN ,Formula SAE® Lincoln 2012,65
83,COMBUSTION,2012-05-12,0.98,MI ,Formula SAE® Michigan 2012,104
82,MIXED,2011-12-18,0.87,AU ,Formula SAE® Australasia 2011,23
81,COMBUSTION,2011-11-20,0.85,BR ,Fórmula SAE® Brasil 2011,21
80,COMBUSTION,2011-09-09,0.95,JP ,Student Formula Japan 2011,65
79,COMBUSTION,2011-09-05,0.92,IT ,Formula SAE® Italy 2011,49
78,COMBUSTION,2011-08-21,0.89,HU ,Formula Student Hungary 2011,28
76,COMBUSTION,2011-08-07,0.96,DE ,Formula Student Germany 2011,74
75,MIXED,2011-07-30,0.94,AT ,Formula Student Austria 2011,27
73,COMBUSTION,2011-07-17,0.95,UK ,Formula Student United Kingdom 2011,77
72,COMBUSTION,2011-06-18,0.95,CA ,Formula SAE® California 2011,60
71,COMBUSTION,2011-05-14,0.97,MI ,Formula SAE® Michigan 2011,97
70,MIXED,2010-12-12,0.9,AU ,Formula SAE® Australasia 2010,27
69,COMBUSTION,2010-11-21,0.85,BR ,Fórmula SAE® Brasil 2010,17
68,COMBUSTION,2010-09-11,0.93,JP ,Student Formula Japan 2010,63
67,COMBUSTION,2010-09-06,0.94,IT ,Formula SAE® Italy 2010,41
66,MIXED,2010-08-14,0.93,AT ,Formula Student Austria 2010,27
64,COMBUSTION,2010-08-08,0.97,DE ,Formula Student Germany 2010,75
63,COMBUSTION,2010-07-18,0.97,UK ,Formula Student United Kingdom 2010,72
62,COMBUSTION,2010-06-19,0.94,CA ,Formula SAE® California 2010,56
61,COMBUSTION,2010-05-15,0.96,MI ,Formula SAE® Michigan 2010,101
60,COMBUSTION,2009-12-13,0.89,AU ,Formula SAE® Australasia 2009,21
59,COMBUSTION,2009-11-08,0.85,BR ,Fórmula SAE® Brasil 2009,14
58,COMBUSTION,2009-09-12,0.92,JP ,Student Formula Japan 2009,58
57,COMBUSTION,2009-09-07,0.92,IT ,Formula SAE® Italy 2009,36
56,COMBUSTION,2009-08-09,0.98,DE ,Formula Student Germany 2009,77
55,COMBUSTION,2009-07-19,0.96,UK ,Formula Student United Kingdom 2009,78
54,COMBUSTION,2009-06-20,0.93,CA ,Formula SAE® California 2009,45
